species,year,views
Nectomys_squamipes,2020,304
Nectomys_squamipes,2021,434
Nectomys_squamipes,2022,657
Nectomys_squamipes,2023,655
Nectomys_squamipes,2024,791
Nectomys_squamipes,2025,712
Nectomys_squamipes,2026,48
Oecomys_catherinae,2015,38
Oecomys_catherinae,2016,86
Oecomys_catherinae,2017,60
Oecomys_catherinae,2018,72
Oecomys_catherinae,2019,67
Oecomys_catherinae,2020,73
Oecomys_catherinae,2021,71
Oecomys_catherinae,2022,64
Oecomys_catherinae,2023,81
Oecomys_catherinae,2024,106
Oecomys_catherinae,2025,118
Oecomys_catherinae,2026,12
Oligoryzomys_mattogrossae,2015,N/A
Oligoryzomys_mattogrossae,2016,N/A
Oligoryzomys_mattogrossae,2017,N/A
Oligoryzomys_mattogrossae,2018,N/A
Oligoryzomys_mattogrossae,2019,N/A
Oligoryzomys_mattogrossae,2020,N/A
Oligoryzomys_mattogrossae,2021,N/A
Oligoryzomys_mattogrossae,2022,N/A
Oligoryzomys_mattogrossae,2023,N/A
Oligoryzomys_mattogrossae,2024,N/A
Oligoryzomys_mattogrossae,2025,N/A
Oligoryzomys_mattogrossae,2026,N/A
Oligoryzomys_nigripes,2015,151
Oligoryzomys_nigripes,2016,289
Oligoryzomys_nigripes,2017,330
Oligoryzomys_nigripes,2018,425
Oligoryzomys_nigripes,2019,299
Oligoryzomys_nigripes,2020,351
Oligoryzomys_nigripes,2021,295
Oligoryzomys_nigripes,2022,235
Oligoryzomys_nigripes,2023,281
Oligoryzomys_nigripes,2024,335
Oligoryzomys_nigripes,2025,293
Oligoryzomys_nigripes,2026,18
Oligoryzomys_rupestris,2015,23
Oligoryzomys_rupestris,2016,58
Oligoryzomys_rupestris,2017,65
Oligoryzomys_rupestris,2018,62
Oligoryzomys_rupestris,2019,86
Oligoryzomys_rupestris,2020,54
Oligoryzomys_rupestris,2021,47
Oligoryzomys_rupestris,2022,57
Oligoryzomys_rupestris,2023,69
Oligoryzomys_rupestris,2024,77
Oligoryzomys_rupestris,2025,92
Oligoryzomys_rupestris,2026,15
Oligoryzomys_stramineus,2015,25
Oligoryzomys_stramineus,2016,66
Oligoryzomys_stramineus,2017,58
Oligoryzomys_stramineus,2018,50
Oligoryzomys_stramineus,2019,45
Oligoryzomys_stramineus,2020,39
Oligoryzomys_stramineus,2021,50
Oligoryzomys_stramineus,2022,57
Oligoryzomys_stramineus,2023,55
Oligoryzomys_stramineus,2024,66
Oligoryzomys_stramineus,2025,86
Oligoryzomys_stramineus,2026,9
Oxymycterus_dasytrichus,2015,41
Oxymycterus_dasytrichus,2016,64
Oxymycterus_dasytrichus,2017,78
Oxymycterus_dasytrichus,2018,97
Oxymycterus_dasytrichus,2019,84
Oxymycterus_dasytrichus,2020,58
Oxymycterus_dasytrichus,2021,63
Oxymycterus_dasytrichus,2022,63
Oxymycterus_dasytrichus,2023,84
Oxymycterus_dasytrichus,2024,91
Oxymycterus_dasytrichus,2025,121
Oxymycterus_dasytrichus,2026,15
Oxymycterus_delator,2015,35
Oxymycterus_delator,2016,48
Oxymycterus_delator,2017,38
Oxymycterus_delator,2018,62
Oxymycterus_delator,2019,75
Oxymycterus_delator,2020,61
Oxymycterus_delator,2021,46
Oxymycterus_delator,2022,54
Oxymycterus_delator,2023,50
Oxymycterus_delator,2024,59
Oxymycterus_delator,2025,62
Oxymycterus_delator,2026,5
Phyllomys_blainvilii,2015,N/A
Phyllomys_blainvilii,2016,N/A
Phyllomys_blainvilii,2017,N/A
Phyllomys_blainvilii,2018,N/A
Phyllomys_blainvilii,2019,N/A
Phyllomys_blainvilii,2020,N/A
Phyllomys_blainvilii,2021,N/A
Phyllomys_blainvilii,2022,N/A
Phyllomys_blainvilii,2023,N/A
Phyllomys_blainvilii,2024,N/A
Phyllomys_blainvilii,2025,N/A
Phyllomys_blainvilii,2026,N/A
Phyllomys_lamarum,2015,21
Phyllomys_lamarum,2016,32
Phyllomys_lamarum,2017,34
Phyllomys_lamarum,2018,51
Phyllomys_lamarum,2019,60
Phyllomys_lamarum,2020,50
Phyllomys_lamarum,2021,35
Phyllomys_lamarum,2022,32
Phyllomys_lamarum,2023,33
Phyllomys_lamarum,2024,51
Phyllomys_lamarum,2025,89
Phyllomys_lamarum,2026,6
Pseudoryzomys_simplex,2015,35
Pseudoryzomys_simplex,2016,75
Pseudoryzomys_simplex,2017,66
Pseudoryzomys_simplex,2018,91
Pseudoryzomys_simplex,2019,125
Pseudoryzomys_simplex,2020,86
Pseudoryzomys_simplex,2021,85
Pseudoryzomys_simplex,2022,97
Pseudoryzomys_simplex,2023,89
Pseudoryzomys_simplex,2024,94
Pseudoryzomys_simplex,2025,105
Pseudoryzomys_simplex,2026,15
Rhipidomys_cariri,2015,23
Rhipidomys_cariri,2016,66
Rhipidomys_cariri,2017,87
Rhipidomys_cariri,2018,105
Rhipidomys_cariri,2019,84
Rhipidomys_cariri,2020,85
Rhipidomys_cariri,2021,50
Rhipidomys_cariri,2022,202
Rhipidomys_cariri,2023,93
Rhipidomys_cariri,2024,119
Rhipidomys_cariri,2025,148
Rhipidomys_cariri,2026,21
Rhipidomys_macrurus,2015,49
Rhipidomys_macrurus,2016,90
Rhipidomys_macrurus,2017,76
Rhipidomys_macrurus,2018,100
Rhipidomys_macrurus,2019,91
Rhipidomys_macrurus,2020,62
Rhipidomys_macrurus,2021,93
Rhipidomys_macrurus,2022,181
Rhipidomys_macrurus,2023,176
Rhipidomys_macrurus,2024,180
Rhipidomys_macrurus,2025,183
Rhipidomys_macrurus,2026,18
Rhipidomys_mastacalis,2015,48
Rhipidomys_mastacalis,2016,120
Rhipidomys_mastacalis,2017,236
Rhipidomys_mastacalis,2018,306
Rhipidomys_mastacalis,2019,281
Rhipidomys_mastacalis,2020,309
Rhipidomys_mastacalis,2021,343
Rhipidomys_mastacalis,2022,273
Rhipidomys_mastacalis,2023,226
Rhipidomys_mastacalis,2024,274
Rhipidomys_mastacalis,2025,298
Rhipidomys_mastacalis,2026,22
Thrichomys_apereoides,2015,497
Thrichomys_apereoides,2016,1041
Thrichomys_apereoides,2017,1056
Thrichomys_apereoides,2018,1612
Thrichomys_apereoides,2019,2273
Thrichomys_apereoides,2020,2701
Thrichomys_apereoides,2021,2333
Thrichomys_apereoides,2022,1606
