Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Book Series Titles,Book Series Titles_Count
2011.0,1.0,,,"Kajin, Maja",2,Tropical Medicine,2.0,,,3.35.274 Wildlife Ecology,1.0,,,,,EMBRAPA CERRADOS,2.0,Carleton University Institute Of Environmental Science,1.0,AUSTRAL ECOLOGY,2.0,,,GERMANY,1.0,Alliance Communications Group Division Allen Press,1.0,Anatomy Morphology,1.0,,,COMISION NACIONAL DE INVESTIGACION CIENTIFICA Y TECNOLOGICA CONICYT,1.0,,
2010.0,4.0,,,"Mattevi, Margarete S.",2,Anatomy Morphology,1.0,,,3.64.612 Pollination,1.0,,,,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA EMBRAPA,2.0,Escola Veterinary Ufmg,1.0,JOURNAL OF PARASITOLOGY,2.0,,,SWEDEN,1.0,Amer Assoc Zoo Veterinarians,1.0,Business Economics,1.0,,,CONICYT FONDAP,1.0,,
2009.0,2.0,,,"Moraes, EA",2,Cell Biology,1.0,,,3.64.71 Genetic Diversity,1.0,,,,,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD,2.0,Federal University Of Minas Gerais Department Of Zoology,1.0,BIOTA NEOTROPICA,1.0,,,VENEZUELA,1.0,Amer Soc Mammalogists,1.0,Cell Biology,1.0,,,CONICYT FONDECYT,1.0,,
2008.0,5.0,,,"Cerqueira, Rui",2,Economics,1.0,,,3.64.864 Evolutionary Dynamics,1.0,,,,,PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS,2.0,Federal University Of Rio De Janeiro Centre Of Mathematical And Natural Sciences,1.0,BRIEF HISTORY OF SOUTH AMERICAN METATHERIANS EVOLUTIONARY CONTEXTS AND INTERCONTINENTAL DISPERSALS,1.0,,,,,Helminthological Soc Washington,1.0,Forestry,1.0,,,CRITICAL ECOSYSTEM PARTNERSHIP FUND CEPF,1.0,,
2007.0,5.0,,,"Yassuda, Yatiyo Y",2,Environmental Studies,1.0,,,8.93.1193 Stable Isotopes,1.0,,,,,UNIVERSIDADE DO ESTADO DE MATO GROSSO,2.0,Federal University Of Rio De Janeiro Department Of Genetics,1.0,CHROMOSOME RESEARCH,1.0,,,,,Karger,1.0,Geology,1.0,,,EUROPEAN FUNDS THROUGH COMPETE BY THE FCT,1.0,,
2006.0,2.0,,,"Silva, Wesley Rodrigues",2,Forestry,1.0,,,,,,,,,UNIVERSIDADE ESTADUAL PAULISTA,2.0,Federal University Of Rio De Janeiro Forum Of Science And Culture,1.0,COMPARATIVE PARASITOLOGY,1.0,,,,,MUSEUM NAT HIST NATURELLE,1.0,Paleontology,1.0,,,FACULTY SEED GRANTS PROGRAM SIU CARBONDALE,1.0,,
2005.0,5.0,,,"Rocha, Rita Gomes",2,Geosciences Multidisciplinary,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DE SANTA CATARINA UFSC,2.0,Federal University Of Rio De Janeiro Institute Of Physics,1.0,CONSERVATION GENETICS,1.0,,,,,Magnolia Press,1.0,Plant Sciences,1.0,,,FEDERAL MINISTRY OF EDUCATION RESEARCH BMBF,1.0,,
2004.0,4.0,,,"Adler, G",2,Paleontology,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DO PARA,2.0,Federal University Of Santa Maria Centre For Natural And Exact Sciences,1.0,CURRENT ZOOLOGY,1.0,,,,,Mdpi,1.0,Veterinary Sciences,1.0,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,1.0,,
2003.0,2.0,,,"Carvalho, FMS",2,Plant Sciences,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2.0,Federal University Of West Para Institute Of Biodiversity And Forests,1.0,CYTOGENETIC AND GENOME RESEARCH,1.0,,,,,Polish Acad Sciences,1.0,,,,,FUNDACAO DE AMPARO A PESQUISA E INOVACAO DO ESPIRITO SANTO FAPES BRAZIL,1.0,,
2002.0,6.0,,,"Desalle, Rob",2,Veterinary Sciences,1.0,,,,,,,,,UNIVERSITE DE MONTPELLIER,2.0,Ifgw,1.0,ECOLOGICAL ECONOMICS,1.0,,,,,Public Library Science,1.0,,,,,FUNDACAO DE APOIO A PESQUISA E EXTENSAO FAPEX,1.0,,
