Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Group Authors,Group Authors_Count
2013.0,1.0,,,"Metzger, Jean Paul",2,Agriculture Dairy Animal Science,1.0,1.246 Diarrheal Diseases,1.0,1.217.1038 Toxoplasma Gondii,1.0,,,,,UNIVERSIDADE FEDERAL DA PARAIBA,2,Duke University Nicholas School Of The Environment,1.0,BIOLOGY LETTERS,1.0,,,INDIA,1.0,Brazilian Coll Veterinary Parasitology,1.0,Veterinary Sciences,2.0,,,CNPQ CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO BMBF GERMAN FEDERAL MINISTRY OF EDUCATION AND RESEARCH,1.0,,,,
2012.0,2.0,,,"Otten, Celine",2,Agronomy,1.0,1.65 Allergy,1.0,1.246.985 Cryptosporidium,1.0,,,,,UNIVERSIDADE FEDERAL DE SERGIPE,2,East China Normal University School Of Life Sciences,1.0,BIOTA NEOTROPICA,1.0,,,JAPAN,1.0,Fundaco Oswaldo Cruz,1.0,Anatomy Morphology,1.0,,,COMPANHIA DE CIMENTO RIBEIRAO GRANDE,1.0,,,,
2011.0,4.0,,,"Alvarez, Martín R",2,Anatomy Morphology,1.0,,,1.65.936 Mast Cell Functions,1.0,,,,,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,2,Federal University Of Minas Gerais Institute Of Biological Sciences,1.0,BMC GENETICS,1.0,,,MALAYSIA,1.0,Int Inst Ecology,1.0,Biochemistry Molecular Biology,1.0,,,COMPANHIA DE CIMENTO RIBEIRAO GRANDE CCRG,1.0,,,,
2010.0,2.0,,,"Silva, Wesley Rodrigues",2,Biochemistry Molecular Biology,1.0,,,3.35.274 Wildlife Ecology,1.0,,,,,UNIVERSITY OF HAMBURG,2,Federal University Of Pernambuco Department Of Zoology,1.0,BRAZILIAN JOURNAL OF BIOLOGY,1.0,,,NORTH IRELAND,1.0,Karger,1.0,Forestry,1.0,,,COORDENACO DE APERFEICOAMENTO PESSOAL DE NIVEL SUPERIOR,1.0,,,,
2009.0,5.0,,,"Sevá, Anaiá P",2,Forestry,1.0,,,,,,,,,UNIVERSITY OF MINNESOTA SYSTEM,2,Federal University Of Pernambuco Life Sciences Center,1.0,CIENCIA RURAL,1.0,,,PEOPLES R CHINA,1.0,MUSEUM NAT HIST NATURELLE,1.0,Physical Geography,1.0,,,DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS,1.0,,,,
2008.0,3.0,,,"Leiner, Natalia",2,Geography Physical,1.0,,,,,,,,,UNIVERSITY OF MINNESOTA TWIN CITIES,2,Federal University Of Rio De Janeiro Ecological Research Centre Of Macae,1.0,CYTOGENETIC AND GENOME RESEARCH,1.0,,,SCOTLAND,1.0,Mdpi,1.0,Tropical Medicine,1.0,,,DOCTORAL DISSERTATION IMPROVEMENT GRANT,1.0,,,,
2007.0,1.0,,,"Rocha, Mariana F.",2,Tropical Medicine,1.0,,,,,,,,,AMERICAN MUSEUM OF NATURAL HISTORY AMNH,1,Iowa State University College Of Agriculture And Life Sciences,1.0,ECOLOGICAL INFORMATICS,1.0,,,SPAIN,1.0,Polish Acad Sciences,1.0,,,,,FACEPE MSC,1.0,,,,
2006.0,1.0,,,"Fernandes, Fabiano",2,,,,,,,,,,,ARC CENTRE OF EXCELLENCE FOR CORAL REEF STUDIES,1,Iowa State University Department Of Ecology Evolution And Organismal Biology,1.0,ECOLOGICAL RESEARCH,1.0,,,SWEDEN,1.0,Revista Biota Neotropica,1.0,,,,,FACEPE PIBIC,1.0,,,,
2004.0,1.0,,,"Albuquerque, George Rego",2,,,,,,,,,,,BOKU UNIVERSITY,1,Iowa State University Department Of Natural Resource Ecology And Management,1.0,FOREST ECOLOGY AND MANAGEMENT,1.0,,,TAIWAN,1.0,Royal Soc London,1.0,,,,,FAPITEC SE AUXPE CAPES,1.0,,,,
2003.0,3.0,,,"Rosa, Clarissa",2,,,,,,,,,,,BOT GARDENS TRUST,1,James Cook University College Of Science And Engineering,1.0,JOURNAL OF BIOGEOGRAPHY,1.0,,,WALES,1.0,Univ Federal Santa Maria,1.0,,,,,FAPITEC SE FUNTEC CNPQ,1.0,,,,
2002.0,4.0,,,"Martinelli, Patricia M",1,,,,,,,,,,,CARDIFF UNIVERSITY,1,James Cook University Marine Biology And Aquaculture At Jcu,1.0,JOURNAL OF MAMMALIAN EVOLUTION,1.0,,,,,Wiley-Hindawi,1.0,,,,,FINANCIADORA DE INOVACAO E PESQUISA FINEP,1.0,,,,
1999.0,1.0,,,"Balkenhol, Niko",1,,,,,,,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,1,Kansas State University College Of Arts And Sciences,1.0,JOURNAL OF PARASITOLOGY,1.0,,,,,,,,,,,FOUNDATION FOR RESEARCH SUPPORT OF THE STATE OF BAHIA,1.0,,,,
1997.0,1.0,,,"Murray, Tomás E",1,,,,,,,,,,,CHINESE ACADEMY OF SCIENCES,1,Kansas State University Division Of Biology,1.0,JOURNAL OF TROPICAL ECOLOGY,1.0,,,,,,,,,,,FUJB,1.0,,,,
,,,,"Fernandez, Fernando A. S.",1,,,,,,,,,,,CHINESE UNIVERSITY OF HONG KONG,1,Leopold Franzens University Innsbruck Institute Of Ecology,1.0,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,1.0,,,,,,,,,,,FUNDACAO CARLOS CHACAS FILHO DE AMPRAO A PESQUISA DO ESTADO DO RIO DE JANEIRO,1.0,,,,
,,,,"Vergara, Pablo",1,,,,,,,,,,,CNRS INSTITUTE OF ECOLOGY ENVIRONMENT INEE,1,Louisiana State University College Of Agriculture,1.0,JOURNAL OF ZOOLOGY,1.0,,,,,,,,,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DE PERNAMBUCO FACEPE,1.0,,,,
,,,,"Magalhães, Arthur",1,,,,,,,,,,,COLLEGE OF FISHERIES MANGALORE,1,Louisiana State University College Of Science,1.0,MEMORIAS DO INSTITUTO OSWALDO CRUZ,1.0,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DA BAHIA FAPESB,1.0,,,,
,,,,"SAKAMOTO, Takashi",1,,,,,,,,,,,COLUMBIA RIVER INTERTRIBAL FISH COMMISS,1,Louisiana State University Department Of Biological Sciences,1.0,MOLECULAR ECOLOGY RESOURCES,1.0,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DO SERGIPE FAPITEC,1.0,,,,
,,,,"Busch, Jeremiah W",1,,,,,,,,,,,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC,1,Louisiana State University Department Of Plant Pathology And Crop Physiology,1.0,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,1.0,,,,,,,,,,,FUNDACAO ESTADUAL DE AMPARO A PESQUISA DO ESTADO DO ESPIRITO SANTO,1.0,,,,
,,,,"Huang, Cheng-Hua",1,,,,,,,,,,,CORNELL UNIVERSITY,1,National Cheng Kung University College Of Bioscience And Biotechnology,1.0,TISSUE CELL,1.0,,,,,,,,,,,FUNDACAO GRUPO BOTICARIO,1.0,,,,
,,,,"Eizirik, Eduardo",1,,,,,,,,,,,CSIC INSTITUTO DE INVESTIGACION EN RECURSOS CINEGETICOS IREC,1,National Cheng Kung University Department Of Life Science,1.0,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,1.0,,,,,,,,,,,FUNDACAO NACIONAL DE DESENVOLVIMENTO DE ENSINO SUPERIOR PARTICULAR FUNADESP,1.0,,,,
,,,,"Jones, Geoffrey P.",1,,,,,,,,,,,CSIC MUSEO NACIONAL DE CIENCIAS NATURALES MNCN,1,National Taiwan Normal University College Of Science,1.0,,,,,,,,,,,,,FUNDACAO PARA A CIENCIA E A TECNOLOGIA FCT,1.0,,,,
,,,,"Hardt, Elisa",1,,,,,,,,,,,DALHOUSIE UNIVERSITY,1,National Taiwan Normal University Department Of Life Science,1.0,,,,,,,,,,,,,FUNDACAO UNIVERSITA JOSE BONIFACIO,1.0,,,,
,,,,"Dickman, Christopher",1,,,,,,,,,,,DUKE UNIVERSITY,1,National Taiwan University College Of Life Science,1.0,,,,,,,,,,,,,FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA,1.0,,,,
,,,,Gordana Rašić,1,,,,,,,,,,,EAST CHINA NORMAL UNIVERSITY,1,National Taiwan University Institute Of Ecology And Evolutionary Biology,1.0,,,,,,,,,,,,,GERMAN BRAZILIAN RESEARCH PROJECT BIOCAPSP BIODIVERSITY CONSERVATION IN FRAGMENTED LANDSCAPES ON THE ATLANTIC PLATEAU OF SAO PAULO,1.0,,,,
,,,,"Cerqueira, Rui",1,,,,,,,,,,,ECOLE PRATIQUE DES HAUTES ETUDES EPHE,1,Nc State University College Of Agriculture And Life Sciences,1.0,,,,,,,,,,,,,IBIO,1.0,,,,
,,,,Jacob Landis,1,,,,,,,,,,,ESCOLA SUPER SAO FRANCISCO ASSIS,1,Nc State University Department Of Entomology And Plant Pathology,1.0,,,,,,,,,,,,,IDEA WILD,1.0,,,,
,,,,Robert John Paxton,1,,,,,,,,,,,FED UNIV STATE RIO JANEIRO,1,Princeton University Department Of Ecology And Evolutionary Biology,1.0,,,,,,,,,,,,,INST NACIONAL DE CIENCIA E TECNOLOGIA ECOLOGIA EVOLUCAO E CONSERVACAO DA BIODIVERSIDADE,1.0,,,,
,,,,"Gouveia, Licínia",1,,,,,,,,,,,FIOCRUZ RESEARCH CENTER RENE RACHOU,1,Queen S University Belfast Faculty Of Medicine Health And Life Sciences,1.0,,,,,,,,,,,,,JAMES W WILKIE FUND FOR NATURAL HISTORY FELLOWSHIP FROM THE J F BELL MUSEUM OF NATURAL HISTORY UNIVERSITY OF MINNESOTA,1.0,,,,
,,,,"Chu, Ka Hou",1,,,,,,,,,,,FMVZ UNESP,1,Queen S University Belfast School Of Biological Sciences,1.0,,,,,,,,,,,,,MUSEU DE BIOLOGIA PROF MELLO LEITAO MBML,1.0,,,,
,,,,"Yassuda, Yatiyo Y",1,,,,,,,,,,,FUNDACAO OSWALDO CRUZ MATO GROSSO SUL,1,Research Institute Of Wildlife Resources,1.0,,,,,,,,,,,,,NATIONAL SCIENCE FOUNDATION NSF,1.0,,,,
,,,,"Strussmann, Carlos A",1,,,,,,,,,,,HAINAN UNIVERSITY,1,Research Network On Biodiversity And Evolutionary Biology,1.0,,,,,,,,,,,,,NATURAL ENVIRONMENT RESEARCH COUNCIL NERC,1.0,,,,
,,,,"Bergallo, Helena Godoy",1,,,,,,,,,,,INRAE,1,Science University Of Malaysia School Of Biological Sciences,1.0,,,,,,,,,,,,,NSF DIRECTORATE FOR BIOLOGICAL SCIENCES BIO,1.0,,,,
,,,,"Kanetis, Loukas I",1,,,,,,,,,,,INST FAUNA SELVAGEM,1,Texas Christian University College Of Science Engineering,1.0,,,,,,,,,,,,,PESQUISAS ECOLOGICAS DE LONGA DURACAO PELD MCF CNPQ,1.0,,,,
,,,,"Rego, Felipe Dutra",1,,,,,,,,,,,INST MANEJO CERTIFICACAO FLORESTAL AGR,1,Texas Christian University Department Of Biology,1.0,,,,,,,,,,,,,PIIC CAPES,1.0,,,,
,,,,"Filho, Jose C.M. Nogueira",1,,,,,,,,,,,INST OSWALDO CRUZ IOC,1,The Chinese University Of Hong Kong Faculty Of Science,1.0,,,,,,,,,,,,,PORTICUS,1.0,,,,
,,,,"Oliveira, Leonardo",1,,,,,,,,,,,INST PROCARNIVOROS,1,The Chinese University Of Hong Kong School Of Life Sciences,1.0,,,,,,,,,,,,,PPBIO CNPQ MCTIC,1.0,,,,
,,,,"Serrao, Ester A",1,,,,,,,,,,,INSTITUT AGRO,1,The University Of Hong Kong Faculty Of Science,1.0,,,,,,,,,,,,,PPGE,1.0,,,,
,,,,"Moreira, Janio C",1,,,,,,,,,,,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD,1,The University Of Hong Kong School Of Biological Sciences,1.0,,,,,,,,,,,,,PROBIO MMA GEF,1.0,,,,
,,,,"DA ROCHA, PATRICIO ADRIANO",1,,,,,,,,,,,INSTITUTE OF OCEANOLOGY CAS,1,The University Of Hong Kong Swire Institute Of Marine Science,1.0,,,,,,,,,,,,,PROGRAMA DE POS GRADUACAO EM ECOLOGIA,1.0,,,,
,,,,"Sparovek, Gerd",1,,,,,,,,,,,INSTITUTE OF ZOOLOGY CAS,1,The University Of Sydney Faculty Of Science,1.0,,,,,,,,,,,,,PROJETO DE CONSERVACAO E UTILIZACAO SUSTENTAVEL DA DIVERSIDADE BIOLOGICA BRASILEIRA PROBIO I MMA GEF,1.0,,,,
,,,,"Louzada, Julio",1,,,,,,,,,,,INSTITUTO FEDERAL GOIANO,1,The University Of Sydney School Of Life And Environmental Sciences,1.0,,,,,,,,,,,,,PROJETO DE CONSERVACAO E UTILIZACAO SUSTENTAVEL DA DIVERSIDADE BIOLOGICA BRASILEIRA PROBIO II MCT MMA GEF,1.0,,,,
,,,,"Weber, Marcelo M",1,,,,,,,,,,,INSTITUTO TECNOLOGICO VALE DESENVOLVIMENTO SUSTENTAVEL,1,Tokyo University Of Marine Science And Technology Graduate School Of Marine Science And Technology,1.0,,,,,,,,,,,,,PROJETOS DEMONSTRATIVOS MINISTERIO DO MEIO AMBIENTE PDA MMA,1.0,,,,
,,,,"Rocha, Rita Gomes",1,,,,,,,,,,,IOC FUNDACAO OSWALDO CRUZ,1,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz,1.0,,,,,,,,,,,,,PRONEX,1.0,,,,
,,,,"Chiarini-Garcia, Helio",1,,,,,,,,,,,IOWA STATE UNIVERSITY,1,Universidade Federal De Minas Gerais Departamento De Genetica Evolucao E Ecologia,1.0,,,,,,,,,,,,,STATE UNIVERSITY OF SANTA CRUZ,1.0,,,,
,,,,"Ditchfield, Albert David",1,,,,,,,,,,,JAMES COOK UNIVERSITY,1,University Of California Berkeley College Of Natural Resources,1.0,,,,,,,,,,,,,TROPICAL FOREST CONSERVATION ACT TFCA THROUGH FUNDO BRASILEIRO PARA BIODIVERSIDADE FUNBIO,1.0,,,,
