Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
1986.0,6.0,,,"Vieira, Thallitha",5,Virology,2.0,1.23 Antibiotics & Antimicrobials,1.0,3.64.612 Pollination,2.0,,,,,OHIO STATE UNIVERSITY,4,The University Of Oklahoma College Of Arts And Sciences,2,JOURNAL OF WILDLIFE DISEASES,3,,,,,Iop Publishing Ltd,2.0,Urban Studies,1.0,,,ACADEMY ECOLOGY FUNDS OF ROYAL NETHERLANDS ACADEMY OF ARTS AND SCIENCES,1,,,,,,
1985.0,6.0,,,"Xavier, Samanta Cristina das Chagas",5,Biochemical Research Methods,1.0,1.235 Throat & Voice Disorders,1.0,3.64.71 Genetic Diversity,2.0,,,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,4,The University Of Oklahoma Department Of Biology,2,JOURNAL OF ZOO AND WILDLIFE MEDICINE,3,,,,,KLUWER ACADEMIC PUBL,2.0,,,,,AGENCIA DE PROMOCION CIENTIFICA Y TECNICA ARGENTINA,1,,,,,,
1984.0,9.0,,,"BARBOSA, E",5,Chemistry Analytical,1.0,1.248 Sexually Transmitted Infections,1.0,1.104.1933 Porcine Viral Challenges,1.0,,,,,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,4,The University Of Sydney School Of Veterinary Science,2,MAMMALIAN BIOLOGY,3,,,,,Magnolia Press,2.0,,,,,AGENCIA I D I FROM ARGENTINA,1,,,,,,
1983.0,1.0,,,"Ramirez, Diego",5,Chemistry Medicinal,1.0,1.308 Radioactive Tracers,1.0,1.104.568 Viral Disease Dynamics,1.0,,,,,UNIVERSIDADE FEDERAL DA PARAIBA,4,Universidade De Sao Paulo Departamento De Ciencias Florestais,2,PARASITOLOGY INTERNATIONAL,3,,,,,Royal Soc London,2.0,,,,,AGENCIA NACIONAL DE PROMOTION CIENTIFICA Y TECNOLOGICA PICT,1,,,,,,
1982.0,5.0,,,"Enriquez, Gustavo Fabian",5,Forestry,1.0,1.54 Molecular & Cell Biology - Genetics,1.0,1.106.1420 Sjogren's Syndrome,1.0,,,,,UNIVERSIDADE FEDERAL DE SAO CARLOS,4,Universidade De Sao Paulo Departamento De Ecologia,2,PATHOGENS,3,,,,,SPRINGER INT PUBL AG,2.0,,,,,AGENCIA NACIONAL DE PROMOTION CIENTIFICA Y TECNOLOGICA PICTO GLAXO,1,,,,,,
1981.0,1.0,,,"D'Andrea, Paulo S.",5,Neurosciences,1.0,1.68 Lipids,1.0,1.132.1265 Craniosynostosis & Fgfr,1.0,,,,,UNIVERSIDADE FEDERAL DO PIAUI,4,Universidade De Sao Paulo Departamento De Epidemiologia,2,PLOS ONE,3,,,,,Soc Protozoologists,2.0,,,,,AMERICAN SOCIETY FOR ICHTHYOLOGISTS AND HERPETOLOGISTS GAIGE FUND AWARD,1,,,,,,
1979.0,1.0,,,"Lages-Silva, Eliane",4,Ornithology,1.0,1.80 Bone Diseases,1.0,1.134.1678 Ocular And Ballistic Trauma,1.0,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE,4,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz Departamento De Ciencias Biologicas,2,REVISTA BRASILEIRA DE ZOOLOGIA,3,,,,,Soc Reproduction Fertility,2.0,,,,,APDL ARS IS PART OF THE USDA S CURRENT RESEARCH INFORMATION SYSTEM CRIS PROJECT FOODBORNE PARASITES AND THEIR IMPACT ON FOOD SAFETY,1,,,,,,
1977.0,1.0,,,"Romanha, Alvaro",4,Psychology Biological,1.0,2.1 Synthesis,1.0,1.152.257 Repair Mechanisms,1.0,,,,,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,4,Universidade De Sao Paulo Faculdade De Medicina De Ribeirao Preto Departamento De Clinica Medica,2,REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL,3,,,,,Swets Zeitlinger Publishers,2.0,,,,,ASOCIACION COOPERADORA INTA RAFAELA AND AGENCIA NACIONAL DE PROMOCION CIENTIFICA Y TECNOLOGICA,1,,,,,,
1976.0,1.0,,,"Borges Silva, Gerluza Aparecida",4,Psychology Experimental,1.0,"2.165 Nanofibers, Scaffolds & Fabrication",1.0,1.158.918 Melanogenesis Mechanisms,1.0,,,,,AIX MARSEILLE UNIVERSITE,3,Universidade De Sao Paulo Faculdade De Saude Publica,2,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,3,,,,,"Systematic & Applied Acarology Soc London, Natural History Museum",2.0,,,,,ASSOCIATION OF FIELD ORNITHOLOGISTS,1,,,,,,
,,,,"Marcili, Arlei",4,Urban Studies,1.0,2.176 Drug Delivery Chemistry,1.0,1.159.518 Adrenoceptor Pharmacology,1.0,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,3,Universidade De Sao Paulo Instituto De Biociencias,2,TOXICON,3,,,,,AMER ASSOC DENTAL RESEARCH,1.0,,,,,AUSTRALIAN RESEARCH COUNCIL,1,,,,,,
