Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Group Authors,Group Authors_Count
2004.0,1.0,,,"Kubisiak, Thomas",1,Genetics Heredity,1.0,,,3.64.71 Genetic Diversity,1.0,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,1,Iowa State University College Of Agriculture And Life Sciences,1.0,MOLECULAR ECOLOGY RESOURCES,1.0,,,JAPAN,1.0,"Soc Brasileira Zoologia, Univ Federal Parana",1.0,Genetics Heredity,1.0,,,FOUNDATION FOR RESEARCH SUPPORT OF BAHIA FAPESB,1.0,,
2003.0,1.0,,,"Vergara, Pablo",1,Paleontology,1.0,,,8.93.8 Holocene,1.0,,,,,CHINESE ACADEMY OF SCIENCES,1,Iowa State University Department Of Ecology Evolution And Organismal Biology,1.0,REVISTA BRASILEIRA DE PALEONTOLOGIA,1.0,,,MALAYSIA,1.0,Springer Nature,1.0,Paleontology,1.0,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DO ESPIRITO SANTO FAPES,1.0,,
1989.0,1.0,,,"Lisboa, Cristiane Varella",1,,,,,8.93.805 Mammalia,1.0,,,,,CHINESE UNIVERSITY OF HONG KONG,1,Iowa State University Department Of Natural Resource Ecology And Management,1.0,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,1.0,,,NORTH IRELAND,1.0,Walter De Gruyter,1.0,,,,,INSTITUTO OSWALDO CRUZ FIOCRUZ,1.0,,
1986.0,1.0,,,"Liu, Mei",1,,,,,,,,,,,CNRS INSTITUTE OF ECOLOGY ENVIRONMENT INEE,1,James Cook University College Of Science And Engineering,1.0,ZOOLOGIA,1.0,,,PEOPLES R CHINA,1.0,,,,,,,INSTUTO OSWALDO CRUZ IOC FIOCRUZ,1.0,,
,,,,"Barros, Camila",1,,,,,,,,,,,COLLEGE OF FISHERIES MANGALORE,1,James Cook University Marine Biology And Aquaculture At Jcu,1.0,,,,,PORTUGAL,1.0,,,,,,,PRO REITORIA DE POS GRADUACAO E PESQUISA UCG,1.0,,
,,,,"Mccormick, Helen",1,,,,,,,,,,,COLUMBIA RIVER INTERTRIBAL FISH COMMISS,1,Kansas State University College Of Arts And Sciences,1.0,,,,,SPAIN,1.0,,,,,,,PROBIO MINISTERIO DO MEIO AMBIENTE GEF BRAZIL,1.0,,
,,,,"Martins-Hatano, Fernanda",1,,,,,,,,,,,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC,1,Kansas State University Division Of Biology,1.0,,,,,SWEDEN,1.0,,,,,,,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO UFES,1.0,,
,,,,"Pellegrino, Katia Cristina M",1,,,,,,,,,,,CORNELL UNIVERSITY,1,Leopold Franzens University Innsbruck Institute Of Ecology,1.0,,,,,TAIWAN,1.0,,,,,,,,,,
,,,,"SAKAMOTO, Takashi",1,,,,,,,,,,,CSIC INSTITUTO DE INVESTIGACION EN RECURSOS CINEGETICOS IREC,1,Louisiana State University College Of Agriculture,1.0,,,,,WALES,1.0,,,,,,,,,,
,,,,"Busch, Jeremiah W",1,,,,,,,,,,,CSIC MUSEO NACIONAL DE CIENCIAS NATURALES MNCN,1,Louisiana State University College Of Science,1.0,,,,,,,,,,,,,,,,
,,,,"Huang, Cheng-Hua",1,,,,,,,,,,,DALHOUSIE UNIVERSITY,1,Louisiana State University Department Of Biological Sciences,1.0,,,,,,,,,,,,,,,,
,,,,"Eizirik, Eduardo",1,,,,,,,,,,,EAST CHINA NORMAL UNIVERSITY,1,Louisiana State University Department Of Plant Pathology And Crop Physiology,1.0,,,,,,,,,,,,,,,,
,,,,"Okamoto, Nobuaki",1,,,,,,,,,,,ECOLE PRATIQUE DES HAUTES ETUDES EPHE,1,National Cheng Kung University College Of Bioscience And Biotechnology,1.0,,,,,,,,,,,,,,,,
,,,,"Nascimento, Monique",1,,,,,,,,,,,FZBRS,1,National Cheng Kung University Department Of Life Science,1.0,,,,,,,,,,,,,,,,
,,,,"Jones, Geoffrey P.",1,,,,,,,,,,,HAINAN UNIVERSITY,1,National Taiwan Normal University College Of Science,1.0,,,,,,,,,,,,,,,,
,,,,"Paula, A",1,,,,,,,,,,,INRAE,1,National Taiwan Normal University Department Of Life Science,1.0,,,,,,,,,,,,,,,,
,,,,"Neufeld, K.",1,,,,,,,,,,,INST PROCARNIVOROS,1,National Taiwan University College Of Life Science,1.0,,,,,,,,,,,,,,,,
,,,,"Patty, Olivia A.",1,,,,,,,,,,,INSTITUT AGRO,1,National Taiwan University Institute Of Ecology And Evolutionary Biology,1.0,,,,,,,,,,,,,,,,
,,,,Gordana Rašić,1,,,,,,,,,,,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD,1,Nc State University College Of Agriculture And Life Sciences,1.0,,,,,,,,,,,,,,,,
,,,,"Cerqueira, Rui",1,,,,,,,,,,,INSTITUTE OF OCEANOLOGY CAS,1,Nc State University Department Of Entomology And Plant Pathology,1.0,,,,,,,,,,,,,,,,
,,,,Jacob Landis,1,,,,,,,,,,,INSTITUTE OF ZOOLOGY CAS,1,Oklahoma Museum Of Natural History,1.0,,,,,,,,,,,,,,,,
,,,,Robert John Paxton,1,,,,,,,,,,,IOWA STATE UNIVERSITY,1,Princeton University Department Of Ecology And Evolutionary Biology,1.0,,,,,,,,,,,,,,,,
,,,,"Arantes-Pereira, Lucas",1,,,,,,,,,,,JAMES COOK UNIVERSITY,1,Queen S University Belfast Faculty Of Medicine Health And Life Sciences,1.0,,,,,,,,,,,,,,,,
,,,,"Costa, Leonora Pires",1,,,,,,,,,,,JAMES HUTTON INSTITUTE,1,Queen S University Belfast School Of Biological Sciences,1.0,,,,,,,,,,,,,,,,
,,,,"Gouveia, Licínia",1,,,,,,,,,,,JULIUS KUHN INSTITUT,1,Research Institute Of Wildlife Resources,1.0,,,,,,,,,,,,,,,,
,,,,"Chu, Ka Hou",1,,,,,,,,,,,KANSAS STATE UNIVERSITY,1,Science University Of Malaysia School Of Biological Sciences,1.0,,,,,,,,,,,,,,,,
,,,,"Yassuda, Yatiyo Y",1,,,,,,,,,,,LEIBNIZ INSTITUT FUR ZOO UND WILDTIERFORSCHUNG,1,Texas Christian University College Of Science Engineering,1.0,,,,,,,,,,,,,,,,
,,,,"Strussmann, Carlos A",1,,,,,,,,,,,LOUISIANA STATE UNIVERSITY,1,Texas Christian University Department Of Biology,1.0,,,,,,,,,,,,,,,,
,,,,"Teixeira, Bernardo R",1,,,,,,,,,,,LOUISIANA STATE UNIVERSITY SYSTEM,1,The Chinese University Of Hong Kong Faculty Of Science,1.0,,,,,,,,,,,,,,,,
,,,,"Kanetis, Loukas I",1,,,,,,,,,,,LUND UNIVERSITY,1,The Chinese University Of Hong Kong School Of Life Sciences,1.0,,,,,,,,,,,,,,,,
,,,,"Silva, Wesley Rodrigues",1,,,,,,,,,,,MAX PLANCK SOCIETY,1,The University Of Hong Kong Faculty Of Science,1.0,,,,,,,,,,,,,,,,
,,,,"Serrao, Ester A",1,,,,,,,,,,,MOL ECOL RESOURCES EDITORIAL OFF,1,The University Of Hong Kong School Of Biological Sciences,1.0,,,,,,,,,,,,,,,,
,,,,"Lee, Chow-Yang",1,,,,,,,,,,,MONTPELLIER SUPAGRO,1,The University Of Hong Kong Swire Institute Of Marine Science,1.0,,,,,,,,,,,,,,,,
,,,,"Syms, Craig",1,,,,,,,,,,,MOTIANLING NAT RESERVE,1,The University Of Oklahoma College Of Arts And Sciences,1.0,,,,,,,,,,,,,,,,
,,,,"Pratchett, Morgan",1,,,,,,,,,,,MUSEO LA PLATA,1,The University Of Oklahoma Department Of Biology,1.0,,,,,,,,,,,,,,,,
,,,,"Yau, Cynthia Sin Ting",1,,,,,,,,,,,MUSEU CIENCIAS NAT,1,Tokyo University Of Marine Science And Technology Graduate School Of Marine Science And Technology,1.0,,,,,,,,,,,,,,,,
,,,,"Cardoso, Thiago",1,,,,,,,,,,,NANJING AGRICULTURAL UNIVERSITY,1,Universidade De Sao Paulo Departamento De Ecologia,1.0,,,,,,,,,,,,,,,,
,,,,"Schuler, Hannes",1,,,,,,,,,,,NATIONAL CANCER INSTITUTE INCA,1,Universidade De Sao Paulo Instituto De Biociencias,1.0,,,,,,,,,,,,,,,,
,,,,Andrew Weeks,1,,,,,,,,,,,NATIONAL CHENG KUNG UNIVERSITY,1,University Of California Berkeley College Of Natural Resources,1.0,,,,,,,,,,,,,,,,
,,,,"García, José Antonio A Dávila",1,,,,,,,,,,,NATIONAL FISHERIES RESEARCH DEVELOPMENT INSTITUTE INIDEP,1,University Of California Berkeley Department Of Environmental Science Policy And Management,1.0,,,,,,,,,,,,,,,,
,,,,"Luiz Silva, Artur da Costa da",1,,,,,,,,,,,NATIONAL TAIWAN NORMAL UNIVERSITY,1,University Of California Berkeley Division Of Ecosystem Sciences,1.0,,,,,,,,,,,,,,,,
,,,,"Pereira, Neila",1,,,,,,,,,,,NATIONAL TAIWAN UNIVERSITY,1,University Of California Davis College Of Agricultural And Environmental Sciences,1.0,,,,,,,,,,,,,,,,
,,,,"Roe, Kevin",1,,,,,,,,,,,NORTH CAROLINA STATE UNIVERSITY,1,University Of California Davis Department Of Plant Pathology,1.0,,,,,,,,,,,,,,,,
,,,,"Loiseau, Anne",1,,,,,,,,,,,PLANT PROTECT QUARANTINE STN HENAN,1,University Of Florida Department Of Entomology And Nematology,1.0,,,,,,,,,,,,,,,,
,,,,"PLANES, Serge",1,,,,,,,,,,,PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL,1,University Of Florida Department Of Plant Pathology,1.0,,,,,,,,,,,,,,,,
,,,,"Subbarao, Krishna",1,,,,,,,,,,,PRINCETON UNIVERSITY,1,University Of Florida Institute Of Food And Agricultural Sciences,1.0,,,,,,,,,,,,,,,,
,,,,"GAO, Yong-Qiang",1,,,,,,,,,,,QUEENS UNIVERSITY BELFAST,1,University Of Florida Mid Florida Research And Education Center,1.0,,,,,,,,,,,,,,,,
