species,year,views
Nectomys_squamipes,2022,927
Nectomys_squamipes,2023,954
Nectomys_squamipes,2024,1138
Nectomys_squamipes,2025,1168
Nectomys_squamipes,2026,78
Oecomys_catherinae,2015,98
Oecomys_catherinae,2016,260
Oecomys_catherinae,2017,151
Oecomys_catherinae,2018,156
Oecomys_catherinae,2019,188
Oecomys_catherinae,2020,222
Oecomys_catherinae,2021,202
Oecomys_catherinae,2022,246
Oecomys_catherinae,2023,287
Oecomys_catherinae,2024,291
Oecomys_catherinae,2025,323
Oecomys_catherinae,2026,31
Oligoryzomys_mattogrossae,2015,N/A
Oligoryzomys_mattogrossae,2016,N/A
Oligoryzomys_mattogrossae,2017,N/A
Oligoryzomys_mattogrossae,2018,N/A
Oligoryzomys_mattogrossae,2019,N/A
Oligoryzomys_mattogrossae,2020,N/A
Oligoryzomys_mattogrossae,2021,N/A
Oligoryzomys_mattogrossae,2022,N/A
Oligoryzomys_mattogrossae,2023,N/A
Oligoryzomys_mattogrossae,2024,N/A
Oligoryzomys_mattogrossae,2025,N/A
Oligoryzomys_mattogrossae,2026,N/A
Oligoryzomys_nigripes,2015,219
Oligoryzomys_nigripes,2016,477
Oligoryzomys_nigripes,2017,441
Oligoryzomys_nigripes,2018,552
Oligoryzomys_nigripes,2019,489
Oligoryzomys_nigripes,2020,515
Oligoryzomys_nigripes,2021,559
Oligoryzomys_nigripes,2022,498
Oligoryzomys_nigripes,2023,500
Oligoryzomys_nigripes,2024,604
Oligoryzomys_nigripes,2025,587
Oligoryzomys_nigripes,2026,39
Oligoryzomys_rupestris,2015,66
Oligoryzomys_rupestris,2016,228
Oligoryzomys_rupestris,2017,171
Oligoryzomys_rupestris,2018,133
Oligoryzomys_rupestris,2019,224
Oligoryzomys_rupestris,2020,167
Oligoryzomys_rupestris,2021,182
Oligoryzomys_rupestris,2022,256
Oligoryzomys_rupestris,2023,261
Oligoryzomys_rupestris,2024,302
Oligoryzomys_rupestris,2025,251
Oligoryzomys_rupestris,2026,33
Oligoryzomys_stramineus,2015,77
Oligoryzomys_stramineus,2016,185
Oligoryzomys_stramineus,2017,138
Oligoryzomys_stramineus,2018,111
Oligoryzomys_stramineus,2019,189
Oligoryzomys_stramineus,2020,183
Oligoryzomys_stramineus,2021,230
Oligoryzomys_stramineus,2022,185
Oligoryzomys_stramineus,2023,188
Oligoryzomys_stramineus,2024,243
Oligoryzomys_stramineus,2025,207
Oligoryzomys_stramineus,2026,23
Oxymycterus_dasytrichus,2015,104
Oxymycterus_dasytrichus,2016,194
Oxymycterus_dasytrichus,2017,167
Oxymycterus_dasytrichus,2018,190
Oxymycterus_dasytrichus,2019,239
Oxymycterus_dasytrichus,2020,168
Oxymycterus_dasytrichus,2021,235
Oxymycterus_dasytrichus,2022,222
Oxymycterus_dasytrichus,2023,275
Oxymycterus_dasytrichus,2024,272
