Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2019.0,1.0,Article,2.0,"Naxara, Laura",1,Zoology,2.0,1.158 Dermatology - General,1.0,1.158.918 Melanogenesis Mechanisms,1.0,03 Good Health And Well Being,1.0,Science Citation Index Expanded (SCI-EXPANDED),2.0,SETE SOLUCOES TECNOL AMBIENTAL,1.0,Universidade De Sao Paulo Departamento De Ecologia,1.0,MAMMALIA,1.0,English,2.0,BRAZIL,2.0,Taylor & Francis,1.0,Zoology,2.0,All Open Access,1.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,2.0
2011.0,1.0,,,"Pinotti, B",1,,,3.35 Zoology & Animal Ecology,1.0,3.35.721 Rodent Ecology,1.0,13 Climate Action,1.0,,,UNIVERSIDADE DE SAO PAULO,1.0,Universidade De Sao Paulo Instituto De Biociencias,1.0,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,1.0,,,,,Walter De Gruyter,1.0,,,Green Submitted,1.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,2.0
,,,,"Cunha, Heitor Santos",1,,,,,,,15 Life On Land,1.0,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,1.0,,,,,,,,,,,,,,,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,1.0
,,,,"Antonelli Vidal Stumpp, Rodolfo German",1,,,,,,,,,,,,,,,,,,,,,,,,,,,FEDERAL MINISTRY OF EDUCATION RESEARCH BMBF,1.0
,,,,"Pardini, Renata",1,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,1.0
,,,,"Casali, Daniel de Melo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Paglia, Adriano P",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
