Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
1999.0,1.0,,,"Padula, P",4,,,,,,,,,,,UNIVERSIDADE FEDERAL DE UBERLANDIA,3,University Of Louisville Department Of Pharmacology And Toxicology,2.0,ANATOMIA HISTOLOGIA EMBRYOLOGIA,1.0,,,,,"Fundacao Zoobotanica  Rio Grande Sul, Museu Ciencias Naturais",1.0,,,,,AGENCIA NACIONAL DE ENERGIA ELETRICA ANEEL,1,,,,
,,,,"Vieira, Emerson Monteiro",4,,,,,,,,,,,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSOES URI,3,University Of Louisville Health Sciences Center,2.0,ARCHIVES OF VIROLOGY,1.0,,,,,"Inst Biologia, Univ Nacional Autonoma Mexico",1.0,,,,,AGENCIA NACIONAL DE PROMOCION DE LA INVESTIGACION EL DESARROLLO TECNOLOGICO Y LA INNOVACION,1,,,,
,,,,"Levis, Silvana",3,,,,,,,,,,,FDN MOISES BERTONI,2,University Of Louisville School Of Medicine,2.0,ARQUIVO BRASILEIRO DE MEDICINA VETERINARIA E ZOOTECNIA,1.0,,,,,KnowledgeWorks Global Ltd-KGL,1.0,,,,,AGENCIA NACIONAL DE PROMOTION CIENTIFICA Y TECNOLOGICA,1,,,,
,,,,"Schrago, Carlos",3,,,,,,,,,,,FIOCRUZ RESEARCH CENTER RENE RACHOU,2,Federal University Of Lavras Department Of Biology,1.0,AUSTRAL ECOLOGY,1.0,,,,,MUSEUM NAT HIST NATURELLE,1.0,,,,,ASOCIACION COOPERADORA INTA RAFAELA,1,,,,
,,,,Ricardo Siqueira Bovendorp,3,,,,,,,,,,,INST NACL MED TROP,2,Federal University Of Parana Biological Sciences Sector,1.0,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,1.0,,,,,"Mary Ann Liebert, Inc",1.0,,,,,AT T MCNAIR FELLOWSHIP TTU,1,,,,
,,,,"Peres, Marina",3,,,,,,,,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA INTA,2,Federal University Of Parana Department Of Zoology,1.0,CANADIAN JOURNAL OF ZOOLOGY,1.0,,,,,Microbiology Soc,1.0,,,,,BID,1,,,,
,,,,"Gheler-Costa, Carla",3,,,,,,,,,,,ITAITI CONSULTORIA AMBIENTAL,2,Federal University Of Rio Grande Do Norte Health Sciences Centre,1.0,CELL AND TISSUE RESEARCH,1.0,,,,,Museu Nacional-Univ Federal Do Rio De Janeiro,1.0,,,,,BRAZILIAN INSTITUTE FOR THE ENVIRONMENT AND RENEWABLE NATURAL RESOURCES IBAMA,1,,,,
,,,,"Galetti, Mauro",3,,,,,,,,,,,MINIST SAUDE,2,Harvard University Faculty Of Arts And Sciences,1.0,CIENCIA RURAL,1.0,,,,,Natl Research Council Canada,1.0,,,,,CNPQ VIA THE PROTAX EDICT,1,,,,
,,,,"Gardenal, Cristina N.",3,,,,,,,,,,,PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS,2,Harvard University Fas Center For Systems Biology,1.0,ECOLOGICAL RESEARCH,1.0,,,,,Revista Pesquisa Veterinaria Brasileira,1.0,,,,,COMPANHIA DE CIMENTO RIBEIRAO GRANDE CCRG,1,,,,
,,,,"Robles, Maria Del Rosario",3,,,,,,,,,,,PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL,2,Institute Of Marine And Coastal Research,1.0,FRONTIERS IN ECOLOGY AND EVOLUTION,1.0,,,,,Soc Brasileira Medicina Tropical,1.0,,,,,CONSELHO NACIONAL PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ PAPES VI FIOCRUZ,1,,,,
,,,,"Spruill-Harrell, Briana",3,,,,,,,,,,,UNIVERSIDADE DE BRASILIA,2,Louisiana State University College Of Agriculture,1.0,GENOME,1.0,,,,,Swets Zeitlinger Publishers,1.0,,,,,COORDENACAO DE APERFEICOAMENTO DE NIVEL SUPERIOR CAPES BRASIL,1,,,,
,,,,"Martin, Paula Sanches",3,,,,,,,,,,,UNIVERSIDADE DE LISBOA,2,Louisiana State University School Of Renewable Natural Resources,1.0,GLOBAL ECOLOGY AND CONSERVATION,1.0,,,,,"Systematic & Applied Acarology Soc London, Natural History Museum",1.0,,,,,COORDENAGAO DE APERFEIGOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,1,,,,
,,,,"Cáceres, Nilton",3,,,,,,,,,,,UNIVERSIDADE DO SAGRADO CORACAO,2,Massachusetts General Hospital Division Of Nephrology,1.0,IHERINGIA SERIE ZOOLOGIA,1.0,,,,,Univ Federal Santa Maria,1.0,,,,,CYTED RIVE,1,,,,
,,,,"Megid, Jane",3,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SANTA CATARINA UFSC,2,Massey University College Of Sciences,1.0,INTEGRATIVE ZOOLOGY,1.0,,,,,Zoological Soc Japan,1.0,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES OF TEXAS TECH UNIVERSITY,1,,,,
,,,,"Fernandez, Fernando A. S.",2,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SAO CARLOS,2,Massey University Molecular Epidemiology And Public Health Laboratory,1.0,JOURNAL OF EXPERIMENTAL ZOOLOGY PART A ECOLOGICAL AND INTEGRATIVE PHYSIOLOGY,1.0,,,,,,,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES TTU,1,,,,
,,,,"Linhares, Aricio Xavier",2,,,,,,,,,,,UNIVERSIDADE FEDERAL DO ABC UFABC,2,Massey University School Of Veterinary Science,1.0,JOURNAL OF GENERAL VIROLOGY,1.0,,,,,,,,,,,FINANCIADORA DE INOVACAO E PESQUISA FINEP,1,,,,
,,,,"Tambosi, Leandro Reverberi",2,,,,,,,,,,,UNIVERSIDADE FEDERAL DO MARANHAO,2,Maynooth University Department Of Mathematics And Statistics,1.0,JOURNAL OF HEREDITY,1.0,,,,,,,,,,,FIP PUC MINAS,1,,,,
,,,,"Goncalves, Gislene Lopes",2,,,,,,,,,,,UNIVERSIDADE FEDERAL DO PAMPA,2,Maynooth University Faculty Of Science And Engineering,1.0,JOURNAL OF MAMMALOGY,1.0,,,,,,,,,,,FOUNDATION FOR RESEARCH SUPPORT OF BAHIA FAPESB,1,,,,
,,,,"Alvarez, Martín R",2,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE,2,Mrc University Of Glasgow Centre For Virus Research,1.0,JOURNAL OF MEDICAL VIROLOGY,1.0,,,,,,,,,,,FUNDACA,1,,,,
,,,,"Cerqueira, Rui",2,,,,,,,,,,,UNIVERSIDADE LUTERANA DO BRASIL,2,National University Of Tucuman Faculty Of Natural Sciences And Institute Miguel Lillo,1.0,MAMIFEROS DE RESTINGAS E MANGUEAIS DO BRASIL,1.0,,,,,,,,,,,FUNDACAO ARAUCIRIA,1,,,,
,,,,"Peres, Brisa",2,,,,,,,,,,,UNIVERSITY OF HAMBURG,2,Peking University Faculty Of Sciences,1.0,MAMMALS OF THE SALT MARSHES AND MANGROVES OF BRAZIL,1.0,,,,,,,,,,,FUNDACAO CAPES,1,,,,
,,,,"del Rosario Robles, Maria del Rosario",2,,,,,,,,,,,UNIVERSITY OF LOUISVILLE,2,Peking University School Of Life Sciences,1.0,MICROBIAL ECOLOGY,1.0,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DA BAHIA FAPESB,1,,,,
,,,,"Rosalino, Luís Miguel",2,,,,,,,,,,,UNIVERSITY OF TENNESSEE KNOXVILLE,2,State University Of Santa Cruz Collegiate Of Biomedicine,1.0,MYCOPATHOLOGIA,1.0,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DO GOIAS FAPEG,1,,,,
,,,,"Guimaraes Rubio, Giselia Burigo",2,,,,,,,,,,,UNIVERSITY OF VETERINARY MEDICINE VIENNA,2,State University Of Santa Cruz Department Of Biological Sciences,1.0,NEOTROPICAL BIOLOGY AND CONSERVATION,1.0,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA E INOVACAO DO ESTADO DE SANTA CATARINA FAPESC,1,,,,
,,,,"Vicente, Acacia FV Ferreira",2,,,,,,,,,,,AGCTR,1,The University Of Tennessee Health Science Center College Of Pharmacy,1.0,PATHOGENS,1.0,,,,,,,,,,,FUNDACAO OSWALDO CRUZ FIOCRUZ,1,,,,
,,,,Paula Ribeiro Prist,2,,,,,,,,,,,ANLIS DR CG MALBRAN,1,The University Of Tennessee Health Science Center Department Of Pharmaceutical Sciences,1.0,PESQUISA VETERINARIA BRASILEIRA,1.0,,,,,,,,,,,FUNDACAO PARQUE ZOOLOGICO DE SAO PAULO FPZSP,1,,,,
,,,,"Taylor, Mariah K.",2,,,,,,,,,,,ANLIS DR CG MALBRDN,1,Universidade De Sao Paulo Departamento De Ciencias Exatas,1.0,PLOS PATHOGENS,1.0,,,,,,,,,,,FUNDO DE AMPARO A PESQUISA DO RIO GRANDE DO SUL,1,,,,
,,,,"Valdivieso, L",2,,,,,,,,,,,AREA VIDA CONSULTORIA AMBIENTAL,1,Universidade De Sao Paulo Faculdade De Filosofia Ciencias E Letras De Ribeirao Preto,1.0,REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL,1.0,,,,,,,,,,,FUNDO DE AMPARO A PESQUISA DO RIO GRANDE DO SUL FAPERGS,1,,,,
,,,,"Stella, Vanessa",2,,,,,,,,,,,CAIPORA COOPERAT CONSERVACAO NAT,1,University Of Bonn Department Of Biology,1.0,REVISTA MEXICANA DE BIODIVERSIDAD,1.0,,,,,,,,,,,FUNDO PARANA,1,,,,
,,,,"Talamoni, Sônia Aparecida",2,,,,,,,,,,,CENTRO UNIVERSITARIO VILA VELHA,1,University Of Bonn Faculty Of Mathematics And Natural Sciences,1.0,SCIENCE OF THE TOTAL ENVIRONMENT,1.0,,,,,,,,,,,GRADUATE PROGRAM IN PARASITIC BIOLOGY OF THE OSWALDO CRUZ INSTITUTE PGBP IOC FIOCRUZ,1,,,,
,,,,"Cruz, Leonardo Dominici",2,,,,,,,,,,,CHICAGO STATE UNIVERSITY,1,University Of Bonn Institute Of Zoology,1.0,SERIE LIVROS DO MUSEU NACIONAL,1.0,,,,,,,,,,,INCT ENTOMOLOGIA MOLECULAR,1,,,,
,,,,"Püttker, Thomas",2,,,,,,,,,,,CICYITP CONICET PROV ER UADER,1,University Of California Santa Cruz Department Of Ecology And Evolutionary Biology,1.0,SYSTEMATIC AND APPLIED ACAROLOGY,1.0,,,,,,,,,,,INMET ANLIS DR CARLOS G MALBRAN,1,,,,
,,,,"Lima, Daniela Oliveira de",2,,,,,,,,,,,COMERCIO SERV AMBIENTAIS LTDA,1,University Of California Santa Cruz Division Of Physical Biological Sciences,1.0,SYSTEMATIC PARASITOLOGY,1.0,,,,,,,,,,,INSTITUTO OSWALDO CRUZ,1,,,,
,,,,"Labruna, Marcelo B",2,,,,,,,,,,,COMPLUTENSE UNIVERSITY OF MADRID,1,University Of Glasgow College Of Medical Veterinary And Life Sciences,1.0,TROPICAL MEDICINE INTERNATIONAL HEALTH,1.0,,,,,,,,,,,INSTITUTO OSWALDO CRUZ FUNDACAO OSWALDO CRUZ,1,,,,
,,,,"Carstensen, Suzana",2,,,,,,,,,,,CONICET CONSELO NACL INVEST CIENT TECN,1,University Of Glasgow Institute Of Infection Immunity And Inflammation,1.0,VECTOR BORNE AND ZOONOTIC DISEASES,1.0,,,,,,,,,,,INSTITUTO OSWALDO CRUZ IOC FIOCRUZ,1,,,,
,,,,"Bordignon, Juliano",2,,,,,,,,,,,CONNECTICUT AGRICULTURAL EXPERIMENT STATION,1,University Of Louisville Center For Predictive Medicine For Biodefense And Emerging Infectious Diseases,1.0,VETERINARY MICROBIOLOGY,1.0,,,,,,,,,,,INTA,1,,,,
,,,,"Marinho, Jorge",2,,,,,,,,,,,CTR EL DESARROLLO INVEST CIENT,1,University Of Miami College Of Arts And Sciences,1.0,VETERINARY PARASITOLOGY,1.0,,,,,,,,,,,INTERNATIONAL DEVELOPMENT RESEARCH CENTER ECOHEALTH PROGRAM,1,,,,
,,,,"Gurgel-Goncalves, Rodrigo",2,,,,,,,,,,,CTR ESTUDIOS PARASIT VECTORES CEPAVE CCT CONICE,1,University Of Miami Department Of Biology,1.0,WILSON JOURNAL OF ORNITHOLOGY,1.0,,,,,,,,,,,INTERNATIONAL INSTITUTE FOR EDUCATION FULBRIGHT SCHOLARSHIP,1,,,,
,,,,"Camp, Jeremy V.",2,,,,,,,,,,,CTR INVEST CIENT TRANSFERENCIA TECNOL PROD CONI,1,,,ZOOLOGICA SCRIPTA,1.0,,,,,,,,,,,IOC FIOCRUZ,1,,,,
