Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Editors,Editors_Count
2014.0,6.0,,,"Kerber, Leonardo",3,Anatomy Morphology,3.0,1.37 Cardiology - General,2.0,1.127.87 Nitric Oxide Roles,2.0,,,,,SMITHSONIAN INSTITUTION,3,Texas Tech University Department Of Biological Sciences,1.0,AMERICAN NATURALIST,1.0,,,,,AMER SOC PARASITOLOGISTS,1.0,Agriculture,3.0,,,ASSOCIACAO CAATINGA,1.0,,,,
2013.0,2.0,,,"Costa, Jane",3,Ecology,3.0,3.220 Smell & Taste Science,2.0,1.217.1038 Toxoplasma Gondii,2.0,,,,,SMITHSONIAN NATIONAL ZOOLOGICAL PARK CONSERVATION BIOLOGY INSTITUTE,3,The University Of Tennessee Knoxville College Of Arts And Sciences,1.0,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,1.0,,,,,Acad Brasileira De Ciencias,1.0,Anatomy Morphology,3.0,,,BRAZILIAN BIODIVERSITY FUND FUNBIO,1.0,,,,
2012.0,3.0,,,"Oliveira, Gleidson",3,Evolutionary Biology,3.0,1.102 Stem Cell Research,1.0,1.5.338 Serotonin Receptors,2.0,,,,,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE UERN,3,The University Of Tennessee Knoxville Department Of Microbiology,1.0,BEHAVIOURAL PROCESSES,1.0,,,,,Amer Assoc Zoo Veterinarians,1.0,Evolutionary Biology,3.0,,,BRAZILIAN MINISTRY OF HEALTH,1.0,,,,
2011.0,3.0,,,"Assis Neto, Antonio Chaves de",3,Infectious Diseases,3.0,1.186 Chromosome Disorders,1.0,1.5.77 Dopamine And Neuromodulation,2.0,,,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,3,Universidade De Sao Paulo Departamento De Medicina Veterinaria Preventiva E Saude Animal,1.0,BIOLOGICAL RHYTHM RESEARCH,1.0,,,,,Cambridge Univ Press,1.0,Infectious Diseases,3.0,,,BRAZILIAN MINISTRY OF THE ENVIRONMENT AND CLIMATE CHANGE MMA,1.0,,,,
2010.0,2.0,,,"Oliveira, Francisco Gilberto",3,Microbiology,3.0,1.253 Nerve Disorders,1.0,3.220.1242 Taste Perception,2.0,,,,,UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO,3,Universidade De Sao Paulo Faculdade De Medicina Veterinaria E Zootecnia Departamento De Cirurgia,1.0,BMC ZOOLOGY,1.0,,,,,Frontiers Media Sa,1.0,Microbiology,3.0,,,CENTRO NACIONAL DE PESQUISAS E CONSERVACAO DE MAMIFEROS CARNIVOROS CENAP ICMBIO AND WWF BRASIL,1.0,,,,
2009.0,1.0,,,"Silva, S. F.",3,Agriculture Multidisciplinary,2.0,1.36 Ophthalmology,1.0,1.102.110 Mesenchymal Stem Cells,1.0,,,,,UNIVERSITE PARIS SACLAY,3,University Of Florida College Of Veterinary Medicine,1.0,BRAIN RESEARCH BULLETIN,1.0,,,,,Int Inst Ecology,1.0,Science Technology Other Topics,3.0,,,CNPQ THROUGH FELLOWSHIPS OF THE PROGRAMA DE POS GRADUACAO EM GEOCIENCIAS UFRGS,1.0,,,,
2008.0,2.0,,,"de Paiva Cavalcanti, José Rodolfo Lopes",3,Entomology,2.0,3.16 Phytochemicals,1.0,1.186.670 Chromosomal Evolution,1.0,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,2,University Of Florida Health,1.0,BRAZILIAN JOURNAL OF BIOLOGY,1.0,,,,,KnowledgeWorks Global Ltd-KGL,1.0,Entomology,2.0,,,CNRS FIOCRUZ,1.0,,,,
2006.0,2.0,,,"Ribeiro, Ana Maria",3,Environmental Sciences,2.0,3.40 Forestry,1.0,1.253.1134 Peripheral Nerve Regeneration,1.0,,,,,INSTITUTE BIOMED SCIENCE UNIVERSITY SAO PAULO,2,University Of Florida Health Science Center,1.0,COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES,1.0,,,,,Mdpi,1.0,Geology,2.0,,,CONSERVATION LEADERSHIP PROGRAMME PANTHERA IDEA WILD INTERNATIONAL FOUNDATION FOR SCIENCE IFS,1.0,,,,
2000.0,1.0,,,"Pontes, Andre",3,Geosciences Multidisciplinary,2.0,,,1.36.212 Genetic Retinopathies,1.0,,,,,UNIV FED ALAGOAS UFAL,2,University Of Missouri St Louis College Of Arts And Sciences,1.0,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,1.0,,,,,Natl Speleological Soc,1.0,Microscopy,2.0,,,COPES SCIENTIFIC INITIATION GRANT,1.0,,,,
1996.0,1.0,,,"ARAUJO, A",3,Microscopy,2.0,,,1.37.2220 Veterinary Cardiology,1.0,,,,,UNIV FED RURAL PERNAMBUCO SEDE,2,University Of Missouri St Louis Department Of Biology,1.0,ETHOLOGY,1.0,,,,,Oxford Univ Press,1.0,Physiology,2.0,,,CPQRR FIOCRUZ MG,1.0,,,,
