Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2010.0,1.0,,,"Ladeveze, Sandrine",2,Cell Biology,1.0,1.5 Neuroscience,1.0,1.258.227 Tick-borne Pathogens,1.0,,,,,SORBONNE UNIVERSITE,2.0,Research Institute In The Environment And Biodiversity,1.0,COMPARATIVE PARASITOLOGY,1.0,,,SWITZERLAND,1.0,Carnegie Museum Natural History,1.0,Cell Biology,1.0,,,ATM FORMES,1.0
2008.0,2.0,,,"Jimenez, Francisco",2,Evolutionary Biology,1.0,,,1.261.695 Leishmaniasis Dynamics,1.0,,,,,SOUTHERN ILLINOIS UNIVERSITY,2.0,Universidad Nacional Del Comahue University Regional Centre Bariloche,1.0,CYTOGENETIC AND GENOME RESEARCH,1.0,,,VENEZUELA,1.0,Folia Parasitologica,1.0,Evolutionary Biology,1.0,,,BELGIAN FEDERAL SCIENCE POLICY OFFICE,1.0
2004.0,1.0,,,"Brito Junior, Pedro de Alcantara",2,Forestry,1.0,,,1.5.1501 Cerebellar Function,1.0,,,,,SOUTHERN ILLINOIS UNIVERSITY SYSTEM,2.0,Universidade De Sao Paulo Departamento De Medicina Veterinaria Preventiva E Saude Animal,1.0,FOLIA PARASITOLOGICA,1.0,,,,,"Fundacao Zoobotanica  Rio Grande Sul, Museu Ciencias Naturais",1.0,Forestry,1.0,,,BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS RENOVAVEIS,1.0
2003.0,1.0,,,"Catzeflis, Francois",2,Geography Physical,1.0,,,3.35.2036 Avian Parasitology,1.0,,,,,UNIVERSIDADE ESTADUAL DE GOIAS,2.0,Universidade De Sao Paulo Faculdade De Medicina Veterinaria E Zootecnia,1.0,FOLIA PRIMATOLOGICA,1.0,,,,,Helminthological Soc Washington,1.0,Microbiology,1.0,,,CNPQ PRODUCTIVITY GRANT,1.0
2002.0,2.0,,,"Eler, Eduardo",2,Microbiology,1.0,,,3.35.274 Wildlife Ecology,1.0,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,2.0,University Of Antwerp Department Of Biology,1.0,GENETICA,1.0,,,,,Interciencia,1.0,Neurosciences Neurology,1.0,,,COORDENACAO DE APERFEICOAMENTO PESSOAL CAPES,1.0
2001.0,1.0,,,"Carvalho, Bianca",2,Neurosciences,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DE PERNAMBUCO,2.0,University Of Antwerp Faculty Of Sciences,1.0,IHERINGIA SERIE ZOOLOGIA,1.0,,,,,KLUWER ACADEMIC PUBL,1.0,Paleontology,1.0,,,EUROPEAN COMMISSION JOINT RESEARCH CENTRE,1.0
2000.0,1.0,,,"Albuquerque, George Rego",2,Paleontology,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DE SANTA MARIA UFSM,2.0,University Of Aveiro Centre For Environmental And Marine Studies,1.0,INTERCIENCIA,1.0,,,,,Karger,1.0,Physical Geography,1.0,,,EUROPEAN FUNDS THROUGH COMPETE BY THE FCT,1.0
1997.0,1.0,,,"Faresin, Carlos",2,Plant Sciences,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,2.0,University Of Aveiro Department Of Biology,1.0,JOURNAL OF ANATOMY,1.0,,,,,MUSEUM NAT HIST NATURELLE,1.0,Plant Sciences,1.0,,,EUROPEAN UNION EU,1.0
1990.0,1.0,,,"Cáceres, Nilton",2,Public Environmental Occupational Health,1.0,,,,,,,,,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO UFRRJ,2.0,University Of Bern Faculty Of Science,1.0,JOURNAL OF BIOGEOGRAPHY,1.0,,,,,Magnolia Press,1.0,Public Environmental Occupational Health,1.0,,,FACULTY SEED GRANTS PROGRAM SIU CARBONDALE,1.0
1986.0,1.0,,,"da Silva, Maria Nazareth Ferreira",2,,,,,,,,,,,AIX MARSEILLE UNIVERSITE,1.0,University Of Bern Institute Of Ecology And Evolution,1.0,JOURNAL OF COMPARATIVE NEUROLOGY,1.0,,,,,Mdpi,1.0,,,,,FACULTY SEED GRANTS SIU CARBONDALE,1.0
