Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
,,,,"de Oliveira, Hernani Fernandes Magalhaes",2,,,,,,,,,,,FAC ENFERMAGEM NOVA ESPERANCA MOSSORO FACENE,1,University Of Aveiro Department Of Biology,1.0,SYSTEMATIC AND APPLIED ACAROLOGY,1.0,,,,,,,,,,,FUNDACAO DO ESTADO DO AMAZONAS FAPEAM,1.0,,
,,,,"Labruna, Marcelo Bahia",2,,,,,,,,,,,FAC INTEGRADAS TERRA BRASILIA,1,University Of Brasilia Department Of Zoology,1.0,TICKS AND TICK BORNE DISEASES,1.0,,,,,,,,,,,FUNDACAO PARA A CIENCIA E A TECNOLOGIA FCT,1.0,,
,,,,"Ferreira, J. B. P.",2,,,,,,,,,,,FIELD MUSEUM OF NATURAL HISTORY CHICAGO,1,University Of Brasilia Institute Of Biological Sciences,1.0,TISSUE CELL,1.0,,,,,,,,,,,FUNDO SOCIAL EUROPEU III QUADRO COMUNITARIO DE APOIO,1.0,,
,,,,"D'Andrea, Paulo S.",2,,,,,,,,,,,FMVZ UNESP,1,University Of California Berkeley Museum Of Vertebrate Zoology,1.0,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,1.0,,,,,,,,,,,HAROLD W MANTER LABORATORY OF PARASITOLOGY,1.0,,
,,,,"Barros Henriques, Raimundo Paulo",2,,,,,,,,,,,HARVARD MEDICAL SCHOOL,1,University Of California Berkeley Research,1.0,,,,,,,,,,,,,INSTITUTO OSWALDO CRUZ FIOCRUZ,1.0,,
,,,,"Cardia, Daniel F. F.",1,,,,,,,,,,,HARVARD UNIVERSITY,1,University Of Macau Institute Of Chinese Medical Science,1.0,,,,,,,,,,,,,INTERNATIONAL INSTITUTE FOR EDUCATION FULBRIGHT SCHOLARSHIP,1.0,,
,,,,"Martinelli, Patricia M",1,,,,,,,,,,,HARVARD UNIVERSITY MEDICAL AFFILIATES,1,University Of Minnesota Twin Cities College Of Biological Sciences,1.0,,,,,,,,,,,,,JIANGSU SCIENCE AND TECHNOLOGY AGENCY,1.0,,
,,,,"Campião, Karla Magalhães",1,,,,,,,,,,,INST BIOFIS CARLOS CHAGAS FILHO,1,University Of Minnesota Twin Cities Department Of Ecology Evolution And Behavior,1.0,,,,,,,,,,,,,KNOX JONES AWARD TTU,1.0,,
,,,,Gustavo A.S. Romero,1,,,,,,,,,,,INST CHICO MENDES CONSERVACAO BIODIVERSIDADE,1,University Of Nebraska State Museum,1.0,,,,,,,,,,,,,MARSHALL FIELD COLLECTION FUND OF THE FIELD MUSEUM OF NATURAL HISTORY IN CHICAGO,1.0,,
,,,,"Lessinger, Ana Claudia",1,,,,,,,,,,,INST FED EDUC CIENCIA TECNOL FARROUPILHA IFFAR,1,University Of Toronto Scarborough Department Of Biological Sciences,1.0,,,,,,,,,,,,,MARY RICE FOUNDATION,1.0,,
,,,,Guillermo D'Elía,1,,,,,,,,,,,INST NACL METROL NORMALIZACAO QUALIDADE IND INM,1,,,,,,,,,,,,,,,MECESUP,1.0,,
,,,,"Ferreira, Eduardo",1,,,,,,,,,,,INSTITUTE OF ZOOLOGY CAS,1,,,,,,,,,,,,,,,MICHELLE KNAPP MEMORIAL SCHOLARSHIP TTU,1.0,,
,,,,"Lemos, Frederico Gemesio",1,,,,,,,,,,,INSTITUTO FEDERAL GOIANO,1,,,,,,,,,,,,,,,MUSEUM OF SOUTHWESTERN BIOLOGY,1.0,,
,,,,"Paiva, Fernando",1,,,,,,,,,,,INSTITUTO GULBENKIAN DE CIENCIA,1,,,,,,,,,,,,,,,NATIONAL INSTITUTE OF FOOD AGRICULTURE,1.0,,
,,,,"Silva, Sydnei M",1,,,,,,,,,,,INSTITUTO NACIONAL DE METROLOGIA QUALIDADE E TECNOLOGIA INMETRO,1,,,,,,,,,,,,,,,NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA NSFC,1.0,,
