Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2002.0,3.0,,,"Martins, Thiago",2,Mathematical Computational Biology,1.0,,,,,,,,,DURBAN NAT SCI MUSEUM,1.0,Liverpool John Moores University School Of Psychology,1.0,INTERNATIONAL JOURNAL FOR PARASITOLOGY PARASITES AND WILDLIFE,1.0,,,,,,,Science Technology Other Topics,1.0,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DO RIO GRANDE DO SUL FAPERGS,1.0
2000.0,1.0,,,"Roque, André Luiz Rodrigues",2,Microbiology,1.0,,,,,,,,,FERDOWSI UNIVERSITY MASHHAD,1.0,Paraiba Federal University Centre For Applied And Natural Sciences,1.0,JOURNAL OF ARID ENVIRONMENTS,1.0,,,,,,,Tropical Medicine,1.0,,,FUNDACAO DE AMPARO A PESQUISA E INOVACAO DO ESPIRITO SANTO,1.0
1999.0,1.0,,,"Arantes, Rafael Augusto",2,Multidisciplinary Sciences,1.0,,,,,,,,,FIOCRUZ RESEARCH CENTER RENE RACHOU,1.0,The University Of Manchester Faculty Of Biology Medicine And Health,1.0,JOURNAL OF INSECT PHYSIOLOGY,1.0,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA E INOVACAO DO ESTADO DE SANTA CATARINA FAPESC,1.0
1996.0,1.0,,,"Lessa, Leonardo",2,Psychology Biological,1.0,,,,,,,,,FLORIDA STATE UNIVERSITY,1.0,Universidade De Sao Paulo Departamento De Ciencia Da Computacao,1.0,JOURNAL OF MAMMALIAN EVOLUTION,1.0,,,,,,,,,,,FUNDACAO OSWALDO CRUZ,1.0
1995.0,1.0,,,"Elton, Sarah",2,Tropical Medicine,1.0,,,,,,,,,ICB,1.0,Universidade De Sao Paulo Departamento De Ecologia,1.0,JOURNAL OF MORPHOLOGY,1.0,,,,,,,,,,,LABORATORY OF THERIOLOGY OF THE ZOOLOGICAL INSTITUTE RAS SAINT PETERSBURG,1.0
1990.0,1.0,,,"Freitas, Melina Maciel F.",2,,,,,,,,,,,INRAE,1.0,Universidade De Sao Paulo Faculdade De Filosofia Ciencias E Letras De Ribeirao Preto,1.0,MAMMAL REVIEW,1.0,,,,,,,,,,,MINISTERIO DA INTEGRACAO NACIONAL PROJETO SAO FRANCISCO,1.0
1988.0,1.0,,,"Lalis, Aude",1,,,,,,,,,,,INST NACL METROL NORMALIZACAO QUALIDADE IND INM,1.0,Universidade De Sao Paulo Instituto De Biociencias,1.0,MAMMALIA,1.0,,,,,,,,,,,NATIONAL RESEARCH FOUNDATION SOUTH AFRICA,1.0
1985.0,1.0,,,"Meloro, Carlo",1,,,,,,,,,,,INST RENE RACHOU FIOCRUZ MINAS GERAIS,1.0,Universidade De Sao Paulo Instituto De Matematica E Estatistica,1.0,MEMORIAS DO INSTITUTO OSWALDO CRUZ,1.0,,,,,,,,,,,NEOTROPICAL GRASSLAND CONSERVANCY,1.0
1983.0,1.0,,,Nelder F Gontijo,1,,,,,,,,,,,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD,1.0,University Michigan Hospital,1.0,PATHOGENS,1.0,,,,,,,,,,,PIP PUC MINAS,1.0
,,,,"Lamb, Jennifer M.",1,,,,,,,,,,,INSTITUTO FEDERAL FARROUPILHA,1.0,University Of Bonn Department Of Biology,1.0,PATTERN RECOGNITION,1.0,,,,,,,,,,,PROGRAMA DE APOYO A LOS ESTUDIANTES DE POSGRADO PAEP,1.0
,,,,"Lanfredi, Reinalda",1,,,,,,,,,,,KUWAIT UNIVERSITY,1.0,University Of Bonn Faculty Of Mathematics And Natural Sciences,1.0,REAL TIME IMAGING,1.0,,,,,,,,,,,PROGRAMA DE APOYO A PROYECTOS DE INVESTIGACION E INNOVACION TECNOLOGICA PAPIIT,1.0
,,,,"Alhajeri, Bader",1,,,,,,,,,,,LIVERPOOL JOHN MOORES UNIVERSITY,1.0,University Of Bonn Institute Of Zoology,1.0,SYSTEMATIC AND APPLIED ACAROLOGY,1.0,,,,,,,,,,,PROJECT CIENCIA DE FRONTERA 2023,1.0
,,,,"Garcia Lopes, Maria Olimpia",1,,,,,,,,,,,LIVERPOOL SCHOOL OF TROPICAL MEDICINE,1.0,University Of Kwazulu Natal College Of Agriculture Engineering And Science,1.0,SYSTEMATIC BIOLOGY,1.0,,,,,,,,,,,SECRETARIA DE CIENCIA HUMANIDADES TECNOLOGIA E INNOVACION SECIHTI,1.0
,,,,"Lisboa, Cristiane Varella",1,,,,,,,,,,,MUSEO LA PLATA,1.0,University Of Kwazulu Natal School Of Life Sciences,1.0,ZEITSCHRIFT FUR SAUGETIERKUNDE INTERNATIONAL JOURNAL OF MAMMALIAN BIOLOGY,1.0,,,,,,,,,,,SOUTH AFRICAN DST NRF CENTRE FOR INVASION BIOLOGY CIB,1.0
,,,,"Rocha-Barbosa, Oscar",1,,,,,,,,,,,MUSEUM NATIONAL D HISTOIRE NATURELLE MNHN,1.0,University Of Michigan Health System,1.0,ZOOLOGIA,1.0,,,,,,,,,,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,1.0
,,,,"MEYERSONMCCORMICK, R",1,,,,,,,,,,,NATIONAL RESEARCH FOUNDATION SOUTH AFRICA,1.0,University Of Michigan Michigan Medicine,1.0,ZOOLOGISCHER ANZEIGER,1.0,,,,,,,,,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,1.0
,,,,"Brazil, Reginaldo Peçanha",1,,,,,,,,,,,NATIONAL UNIVERSITY OF LA PLATA,1.0,University Of Pretoria Department Of Zoology And Entomology,1.0,,,,,,,,,,,,,UNIVERSITY OF PRETORIA,1.0
,,,,"Mutinari, GC",1,,,,,,,,,,,SARATOV SCIENTIFIC CENTER OF THE RUSSIAN ACADEMY OF SCIENCES,1.0,University Of Pretoria Faculty Of Natural And Agricultural Sciences,1.0,,,,,,,,,,,,,,
,,,,"Nascimento, A. P. F.",1,,,,,,,,,,,SEVERTSOV INSTITUTE OF ECOLOGY EVOLUTION,1.0,University Of South Bohemia In Ceske Budejovice Faculty Of Agriculture,1.0,,,,,,,,,,,,,,
,,,,"Otazu, I.",1,,,,,,,,,,,SMITHSONIAN INSTITUTION,1.0,University Of South Bohemia In Ceske Budejovice Faculty Of Science,1.0,,,,,,,,,,,,,,
,,,,"Oliveira, Joao A",1,,,,,,,,,,,SMITHSONIAN NATIONAL ZOOLOGICAL PARK CONSERVATION BIOLOGY INSTITUTE,1.0,Virginia Polytechnic Institute And State University College Of Science,1.0,,,,,,,,,,,,,,
,,,,"Valença-Barbosa, Carolina VB",1,,,,,,,,,,,SOKOINE UNIVERSITY OF AGRICULTURE,1.0,Virginia Polytechnic Institute And State University Department Of Biological Sciences,1.0,,,,,,,,,,,,,,
,,,,Roberto M Cesar-Jr,1,,,,,,,,,,,STATE UNIVERSITY SYSTEM OF FLORIDA,1.0,,,,,,,,,,,,,,,,
,,,,"El-Hani, Charbel",1,,,,,,,,,,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,1.0,,,,,,,,,,,,,,,,
,,,,"ERS, Lemos",1,,,,,,,,,,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,1.0,,,,,,,,,,,,,,,,
,,,,"Fornel, Rodrigo",1,,,,,,,,,,,UNIVERSIDADE DE BRASILIA,1.0,,,,,,,,,,,,,,,,
,,,,"Hendges, Carla Deonisia",1,,,,,,,,,,,UNIVERSIDADE DE SANTO AMARO UNISA,1.0,,,,,,,,,,,,,,,,
,,,,"Fournier, Gislene",1,,,,,,,,,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,1.0,,,,,,,,,,,,,,,,
,,,,"Bonato, Vinicius",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DA PARAIBA,1.0,,,,,,,,,,,,,,,,
,,,,"Teixeira, Bernardo R",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO,1.0,,,,,,,,,,,,,,,,
,,,,"guarneri, Alessandra A",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,1.0,,,,,,,,,,,,,,,,
,,,,"Paresque, Roberta",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SANTA MARIA UFSM,1.0,,,,,,,,,,,,,,,,
,,,,"Oliveira, Glauber",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO CEARA,1.0,,,,,,,,,,,,,,,,
,,,,"Taylor, Peter",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,1.0,,,,,,,,,,,,,,,,
,,,,"Freitas, Thales",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,1.0,,,,,,,,,,,,,,,,
,,,,"Denys, Christiane",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI UFVJM,1.0,,,,,,,,,,,,,,,,
,,,,"Godinho, Hugo P",1,,,,,,,,,,,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSOES URI,1.0,,,,,,,,,,,,,,,,
,,,,"Marroig, Gabriel",1,,,,,,,,,,,UNIVERSITY OF BONN,1.0,,,,,,,,,,,,,,,,
,,,,"Takemura, Celina M",1,,,,,,,,,,,UNIVERSITY OF KWAZULU NATAL,1.0,,,,,,,,,,,,,,,,
,,,,"Bocchiglieri, Adriana",1,,,,,,,,,,,UNIVERSITY OF LIVERPOOL,1.0,,,,,,,,,,,,,,,,
,,,,"Maldonado Junior, Arnaldo",1,,,,,,,,,,,UNIVERSITY OF MANCHESTER,1.0,,,,,,,,,,,,,,,,
