Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
1977.0,2.0,,,"Borodin, Pavel",1,,,,,,,,,,,UNIV FED GOIAS REG CATALAO,1.0,,,ZOOLOGIA,1.0,,,,,,,,,,,MCT MINISTERIO DE CIENCIA E TECNOLOGIA,1.0
,,,,"Bezerra, Alexandra Maria Ramos",1,,,,,,,,,,,UNIV FED JATAI,1.0,,,,,,,,,,,,,,,MINISTERIO DA CIENCIA E TECNOLOGIA BRAZIL,1.0
,,,,"Lessa, Gisele",1,,,,,,,,,,,UNIV VALE DO RIO DOS SINOS UNISINOS,1.0,,,,,,,,,,,,,,,MMA MINISTERIO DO MEIO AMBIENTE,1.0
,,,,"Fehlberg, Hllytchaikra F.",1,,,,,,,,,,,UNIVERSIDAD NACIONAL DEL COMAHUE,1.0,,,,,,,,,,,,,,,PROGRAMA DE INICIACAO CIENTIFICA E TECNOLOGICA,1.0
,,,,"Denys, Christiane",1,,,,,,,,,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,1.0,,,,,,,,,,,,,,,SECRETARIA DA CIENCIA E TECNOLOGIA BRAZIL,1.0
,,,,"Sotomayor, Diego A.",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DE CAMPINAS,1.0,,,,,,,,,,,,,,,STATE UNIVERSITY OF SANTA CRUZ,1.0
,,,,"Marroig, Gabriel",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,1.0,,,,,,,,,,,,,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO BRAZIL,1.0
,,,,"Morais, Alessandro",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL PAULISTA,1.0,,,,,,,,,,,,,,,,
,,,,"Marinho-Filho, Jader",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,1.0,,,,,,,,,,,,,,,,
,,,,"Briani, D. C.",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE UBERLANDIA,1.0,,,,,,,,,,,,,,,,
,,,,"Cassia-Pires, Renata",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE VICOSA,1.0,,,,,,,,,,,,,,,,
,,,,"Boroni, Natalia Lima",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,1.0,,,,,,,,,,,,,,,,
,,,,"Mendonça, André",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"do Nascimento, Fabricia F.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Terribile, Levi Carina",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Maciel, Bianca M",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Magrini, Leandro",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Sevá, Anaiá P",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Pereira, L. G. R.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Rosa, Beatris Felipe",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Xavier, Samanta Cristina das Chagas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Carvalhaes, Jeiel Gabrir",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"BARRIO, R",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Jansen, Ana Maria",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Camargo, Nícholas F",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ribeiro, Juliana Fernandes",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Cordeiro-Estrela, Pedro",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Silva, Fabiana Q.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Almeida, FC",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Aprigliano, Paula",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
