Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
,,,,"Pessôa, Leila L M",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SANTA MARIA UFSM,1.0,,,,,,,,,,,,,,,,,,
,,,,"Oliveira, Glauber",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO CEARA,1.0,,,,,,,,,,,,,,,,,,
,,,,Victor Hugo Valiati,1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,,,,,,,,,,,,,,,,,,
,,,,"Labruna, Marcelo B",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,1.0,,,,,,,,,,,,,,,,,,
,,,,"Menezes, Tatiana",1,,,,,,,,,,,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO UFRRJ,1.0,,,,,,,,,,,,,,,,,,
,,,,"Ballou, J.",1,,,,,,,,,,,UNIVERSIDADE LUTERANA DO BRASIL,1.0,,,,,,,,,,,,,,,,,,
,,,,"da Silva, Ivo Wesley Gomes",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rita de Cassia Moreira de Souza,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Oliveira, Moacir Franco",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ferreira Araujo Do Nascimento, Gabriela",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dutra, Valéria",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Sponchiado, Jonas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"da Silva, Andréia Maria",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lileia Diotaiuti,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Christoff, Alexandre Uarth",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Barbosa, Silvia Ermelinda",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Pol, Andre",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Peracchi, Adriano",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ralls, K",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Xavier, Samanta Cristina das Chagas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Jansen, Ana Maria",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Oliveira, Radan",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Matos, Yuri G.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Bezerra, Claudia Mendonca",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Martins, Thiago",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Campos, Amanda Noeli da Silva",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Serpa, Maria Carolina A.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Góes Cavalcanti, Luciano Pamplona",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Nicola, Patricia Avello",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"PACHECO, RS",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Machado, Leonardo Ferreira",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Machado, Luiz",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Aguiar, Daniel Moura",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Pirmez, Claude",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Hauser-Davis, Rachel Ann",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Oliveira, Rysonely Maclay",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Evaristo, Anna",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Brito, Pedro Augusto Pinheiro",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Labruna, Marcelo B.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Torres, Daniel",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Silva, Gabrielli de Oliveira",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Sales Duarte Bezerra, Gabriel",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
