Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2014.0,1.0,,,"Paixao, Vergiana dos Santos",2,Microbiology,1.0,,,,,,,,,CTR DESARROLLO INVEST CIENT,2.0,University Of Louisville Health Sciences Center,2.0,CHROMOSOME RESEARCH,1.0,,,,,Revista Pesquisa Veterinaria Brasileira,1.0,Microbiology,1.0,,,WELLCOME TRUST,2.0
2013.0,2.0,,,"Costa, Leonora Pires",2,Reproductive Biology,1.0,,,,,,,,,FDN MOISES BERTONI,2.0,University Of Louisville School Of Medicine,2.0,COMPARATIVE PARASITOLOGY,1.0,,,,,"Systematic & Applied Acarology Soc London, Natural History Museum",1.0,Reproductive Biology,1.0,,,BNDES,1.0
2011.0,1.0,,,"Suarez, Pablo A.",2,Tropical Medicine,1.0,,,,,,,,,FUNDACAO OSWALDO CRUZ,2.0,The University Of Tennessee Knoxville College Of Arts And Sciences,1.0,DIVERSITY AND DISTRIBUTIONS,1.0,,,,,Walter De Gruyter,1.0,Tropical Medicine,1.0,,,CNPQ FAPEAM SISBIOTA REDE BIOPHAM,1.0
2008.0,1.0,,,"Maia, Maerle Oliveira",2,,,,,,,,,,,INSTITUTO FEDERAL GOIANO,2.0,The University Of Tennessee Knoxville Department Of Microbiology,1.0,ECOLOGY AND EVOLUTION,1.0,,,,,,,,,,,CONICYT PROGRAMA DE FORMACION DE CAPITAL HUMANO AVANZADO BECA CHILE,1.0
2007.0,1.0,,,"Fonseca, Carlos MMS",2,,,,,,,,,,,UNIVERSIDADE DE AVEIRO,2.0,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz,1.0,EVOLUTIONARY ECOLOGY,1.0,,,,,,,,,,,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR BIONORTE CNPQ,1.0
,,,,"Rocha, Rita Gomes",2,,,,,,,,,,,UNIVERSIDADE ESTADUAL DE GOIAS,2.0,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz Departamento De Ciencias Biologicas,1.0,MAMMALIA,1.0,,,,,,,,,,,CYN,1.0
,,,,"Jonsson, Colleen",2,,,,,,,,,,,UNIVERSIDADE ESTADUAL PAULISTA,2.0,University Of Aveiro Centre For Environmental And Marine Studies,1.0,MICROORGANISMS,1.0,,,,,,,,,,,DOCTORAL THESIS OF WOS IN GENETIC AND MOLECULAR BIOLOGY UNDER A CAPES DOCTORAL SCHOLARSHIP VINCULATED ON A PROJECT PRO AMAZONIA,1.0
,,,,"Camp, Jeremy V.",2,,,,,,,,,,,UNIVERSIDADE FEDERAL DA PARAIBA,2.0,University Of Louisville Center For Predictive Medicine For Biodefense And Emerging Infectious Diseases,1.0,PESQUISA VETERINARIA BRASILEIRA,1.0,,,,,,,,,,,EUROPEAN FUNDS THROUGH COMPETE,1.0
,,,,"MCALLISTER, RC",2,,,,,,,,,,,UNIVERSIDADE FEDERAL DE UBERLANDIA,2.0,University Of Porto Faculty Of Sciences,1.0,REVISTA BRASILEIRA DE ZOOLOGIA,1.0,,,,,,,,,,,FAPEMAT DOCTOR SCHOLARSHIP IN BIONORTE,1.0
,,,,"Leiner, Natalia",2,,,,,,,,,,,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,2.0,,,SYSTEMATIC AND APPLIED ACAROLOGY,1.0,,,,,,,,,,,FOUNDATION FOR RESEARCH SUPPORT FROM THE STATE OF GOIAS FAPEG,1.0
,,,,"Sage, Richard D.",2,,,,,,,,,,,UNIVERSITY OF LOUISVILLE,2.0,,,ZOOLOGIA,1.0,,,,,,,,,,,FOUNDATION FOR RESEARCH SUPPORT OF THE STATE OF GOIAS FAPEG,1.0
,,,,"Pacheco, Richard Campos",2,,,,,,,,,,,UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER,2.0,,,,,,,,,,,,,,,FUNDACAO AMAZONIA PARAENSE,1.0
,,,,"Rosa, Celina Coelho",2,,,,,,,,,,,UNIVERSITY OF TENNESSEE SYSTEM,2.0,,,,,,,,,,,,,,,FUNDACAO CIENCIA E TECNOLOGIA FCT PROGRAM POPHQREN,1.0
,,,,"Owen, Robert D.",2,,,,,,,,,,,UNIVERSITY OF VETERINARY MEDICINE VIENNA,2.0,,,,,,,,,,,,,,,FUNDACAO DE AMAPARO A PESQUISA DO ESTADO DO PARA FAPESPA,1.0
,,,,"Leite, Yuri L. R.",2,,,,,,,,,,,CNPQ,1.0,,,,,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA E INOVACAO DO ESPIRITO SANTO FAPES BRAZIL,1.0
,,,,"Martinez Bruyn, Vicente J.",2,,,,,,,,,,,CONICET UNAM,1.0,,,,,,,,,,,,,,,FUNDACAO DE AMPARO AS PESQUISAS DO ESTADO DE GOIAS FAPEG,1.0
,,,,"Munoz, Sebastian",2,,,,,,,,,,,CONNECTICUT AGRICULTURAL EXPERIMENT STATION,1.0,,,,,,,,,,,,,,,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,1.0
,,,,"Rodriguez, Laura",2,,,,,,,,,,,DEPAUL UNIVERSITY,1.0,,,,,,,,,,,,,,,FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA,1.0
,,,,"Hannibal, Wellington",2,,,,,,,,,,,FIELD MUSEUM OF NATURAL HISTORY CHICAGO,1.0,,,,,,,,,,,,,,,GRAINER BIOINFORMATICS CENTER AT THE FIELD MUSEUM,1.0
,,,,"Langguth, Alfredo R.",1,,,,,,,,,,,FUNDACAO UNIVERSIDADE FEDERAL DO AMAPA,1.0,,,,,,,,,,,,,,,INSTITUTO POLITECNICO NACIONAL MEXICO,1.0
,,,,"Mattevi, Margarete S.",1,,,,,,,,,,,INST BIOL SUBTROP CONICET UNAM,1.0,,,,,,,,,,,,,,,JCP,1.0
,,,,"Silva, Sydnei M",1,,,,,,,,,,,INST PESQUISAS CIENT TECNOL ESTADO AMAPA,1.0,,,,,,,,,,,,,,,PDJ CNPQ SCHOLARSHIP,1.0
,,,,"André, Marcos Rogério",1,,,,,,,,,,,INST PESQUISAS CIENT TECNOL ESTADO AMAPA IEPA,1.0,,,,,,,,,,,,,,,PNPD CAPES SCHOLARSHIP,1.0
,,,,"Santa Rita, Ricardo de Mattos",1,,,,,,,,,,,INSTITUTE NACIONAL DE PESQUISAS DA AMAZONIA,1.0,,,,,,,,,,,,,,,PRINCE OF SONGKLA UNIVERSITY,1.0
,,,,"Mineo, Jose Roberto",1,,,,,,,,,,,INSTITUTO BUTANTAN,1.0,,,,,,,,,,,,,,,PROCIENCIA UERJ,1.0
,,,,"Pinto, Jamilly Amaral",1,,,,,,,,,,,INSTITUTO FEDERAL DE MATO GROSSO IFMT,1.0,,,,,,,,,,,,,,,PROGRAMA DE DESENVOLVIMENTO DA POSGRADUACAO PDPG PARCERIAS ESTRATEGICAS NOS ESTADOS,1.0
,,,,"Anciaes, Marina",1,,,,,,,,,,,KANSAS STATE UNIVERSITY,1.0,,,,,,,,,,,,,,,PROPESP UFPA,1.0
,,,,"Sales, Kamila P.",1,,,,,,,,,,,MUSEU PARAENSE EMILIO GOELDI,1.0,,,,,,,,,,,,,,,SMITHSONIAN NMNH,1.0
,,,,"Machado, Arielli Fabricio",1,,,,,,,,,,,PHYLOGENET FUNCT ECOL LAB LEFF,1.0,,,,,,,,,,,,,,,UNITED STATES DEPARTMENT OF AGRICULTURE USDA,1.0
,,,,"Farias, Izeni Pires",1,,,,,,,,,,,PONTIFICIA UNIVERSIDAD JAVERIANA,1.0,,,,,,,,,,,,,,,UNIVERSIDADE ESTADUAL DE GOIAS,1.0
,,,,"Nunes, Mario S",1,,,,,,,,,,,POSTGRAD PROGRAM APPL IMMUNOL PARASITOL,1.0,,,,,,,,,,,,,,,USDA AGRICULTURAL RESEARCH SERVICE,1.0
,,,,"Silva, Claudia Regina",1,,,,,,,,,,,POSTGRAD PROGRAM ECOL CONSERVAT NAT RESOURCES,1.0,,,,,,,,,,,,,,,,
,,,,"Eastwood, Gillian",1,,,,,,,,,,,PROYECTO CONSERVAC AGUAS TIERRAS PROCAT COLOMBI,1.0,,,,,,,,,,,,,,,,
,,,,"Miranda, Gus",1,,,,,,,,,,,RHODES COLL,1.0,,,,,,,,,,,,,,,,
,,,,"Malleret, Matias M.",1,,,,,,,,,,,SMITHSONIAN INSTITUTION,1.0,,,,,,,,,,,,,,,,
,,,,"Taylor, Mariah K.",1,,,,,,,,,,,SNAP,1.0,,,,,,,,,,,,,,,,
,,,,"Valdivieso, L",1,,,,,,,,,,,SOC NAT ANDINO PATAGONICA SNAP,1.0,,,,,,,,,,,,,,,,
,,,,"Suzin, Adriane",1,,,,,,,,,,,UNITED STATES DEPARTMENT OF AGRICULTURE USDA,1.0,,,,,,,,,,,,,,,,
,,,,"Sawyer, Aubrey M.",1,,,,,,,,,,,UNIV AUTONOMA METROPOLITANA UNIDAD LERMA,1.0,,,,,,,,,,,,,,,,
,,,,"PESSOA, LM",1,,,,,,,,,,,UNIV ESTADUAL MARANHA,1.0,,,,,,,,,,,,,,,,
,,,,"Moreira, Janio C",1,,,,,,,,,,,UNIV FED JATAI,1.0,,,,,,,,,,,,,,,,
,,,,"Costa, Francico",1,,,,,,,,,,,UNIV LUTERANA,1.0,,,,,,,,,,,,,,,,
,,,,"Yu, Ashley",1,,,,,,,,,,,UNIV SUDAMER,1.0,,,,,,,,,,,,,,,,
,,,,"Silva, Claudia",1,,,,,,,,,,,UNIVERSIDAD DE CONCEPCION,1.0,,,,,,,,,,,,,,,,
,,,,"VIANA, LUCIO",1,,,,,,,,,,,UNIVERSIDADE CASTELO BRANCO,1.0,,,,,,,,,,,,,,,,
,,,,"Dantas-Torres, Filipe",1,,,,,,,,,,,UNIVERSIDADE CATOLICA DE BRASILIA,1.0,,,,,,,,,,,,,,,,
,,,,"Gurgel-Goncalves, Rodrigo",1,,,,,,,,,,,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,1.0,,,,,,,,,,,,,,,,
,,,,"de la Sancha, Noé",1,,,,,,,,,,,UNIVERSIDADE DO PORTO,1.0,,,,,,,,,,,,,,,,
,,,,"da Costa, Marlyson Jeremias Rodrigues",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE AMAZONAS,1.0,,,,,,,,,,,,,,,,
,,,,"de Sousa, Tatiane Pires",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE VICOSA,1.0,,,,,,,,,,,,,,,,
,,,,"da Matta, Sergio Luis",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO MARANHAO,1.0,,,,,,,,,,,,,,,,
,,,,"de Carvalho, Raimundo Wilson",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,,,,,,,,,,,,,,,,
,,,,"da Silva, Victor Fonseca",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,1.0,,,,,,,,,,,,,,,,
,,,,"Bauchan, Gary",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,1.0,,,,,,,,,,,,,,,,
,,,,"Faria, Michel Barros",1,,,,,,,,,,,UNIVERSITY OF NORTH CAROLINA,1.0,,,,,,,,,,,,,,,,
,,,,"Ribeiro, Paulo",1,,,,,,,,,,,UNIVERSITY OF NORTH CAROLINA CHARLOTTE,1.0,,,,,,,,,,,,,,,,
,,,,"Ribeiro, Matheus Fernando Felix",1,,,,,,,,,,,UNIVERSITY OF TENNESSEE KNOXVILLE,1.0,,,,,,,,,,,,,,,,
,,,,"Boyle, Sarah",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Justino, Juliana F.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dutra, Valéria",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Vieira, Thallitha",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Lanzone, Cecilia",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"NAKAZATO, LUCIANO",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Silva Oliveira, Luiz Fernando",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Melo, Fabiano Rodrigues de",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Moreira, Rafael",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ochoa, R.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Pedroni, Fernando",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Pena, Simone Almeida",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Rissino, J",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Chagas-de-Souza, Darlison",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"González-Maya, José F.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Santos Junior, Marcelo Augusto dos",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Camargo, Nícholas F",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Asfora, P.H.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Lima, Anna Monteiro Correia",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Battesti, Darci Moraes Barros",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Andrades-Miranda, Jaqueline",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Cao, Xueyuan",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Aguiar, Daniel Moura",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Costa, Kyvia L. C.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Szabó, Matias Pablo Juan PJ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"da Silva, Maria Nazareth Ferreira",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Semedo, Thiago B.F",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Goodie, Doug G.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Hingst-Zaher, Erika",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Jacinavicius, Fernando de Castro",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"SAMPAIO, IRACILDA",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Urbina-Cardona, J. Nicolas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
