Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count
2008.0,1.0,Article,2.0,"Rocha, Pedro Luís B.",2,Zoology,2.0,3.35 Zoology & Animal Ecology,2.0,3.35.721 Rodent Ecology,2.0,13 Climate Action,2.0,Science Citation Index Expanded (SCI-EXPANDED),2.0,UNIVERSIDADE FEDERAL DA BAHIA,2.0,Federal University Of Bahia Institute Of Biology,2.0,CANADIAN JOURNAL OF ZOOLOGY REVUE CANADIENNE DE ZOOLOGIE,1.0,English,2.0,BRAZIL,2.0,"CANADIAN SCIENCE PUBLISHING, NRC RESEARCH PRESS",1.0,Zoology,2.0
2007.0,1.0,,,"RENOUS, S",1,Behavioral Sciences,1.0,,,,,15 Life On Land,2.0,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,1.0,,,ETHOLOGY,1.0,,,FRANCE,1.0,Wiley,1.0,Behavioral Sciences,1.0
,,,,"El-Hani, Charbel",1,Psychology Biological,1.0,,,,,,,,,MUSEUM NATIONAL D HISTOIRE NATURELLE MNHN,1.0,,,,,,,,,,,Psychology,1.0
,,,,"Abourachid, A.",1,,,,,,,,,,,UNIVERSIDADE DE SAO PAULO,1.0,,,,,,,,,,,,
,,,,"Freitas, J.",1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Höfling, Elizabeth",1,,,,,,,,,,,,,,,,,,,,,,,,
