Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
,,,,"Romero, Gustavo A.S.",1,,,,,,,,,,,POSTGRAD PROGRAM ECOL CONSERVAT NAT RESOURCES,1.0,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz,1.0,SYSTEMATIC AND APPLIED ACAROLOGY,1.0,,,,,,,,,,,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR BRASIL CAPES COORDINATION AND IMPROVEMENT OF HIGHER LEVEL OR EDUCATION PERSONNEL,1.0
,,,,"D'Elía, Guillermo",1,,,,,,,,,,,TEXAS TECH UNIVERSITY,1.0,Universidade De Sao Paulo Escola Superior De Agricultura Luiz De Queiroz Departamento De Ciencias Biologicas,1.0,,,,,,,,,,,,,ECOLOGICAL AND AGRICULTURAL FIELD STATION OF THE UNIVERSITY OF BRASILIA FAZENDA AGUA LIMPA FAL UNB,1.0
,,,,"Silva, Sydnei M",1,,,,,,,,,,,TEXAS TECH UNIVERSITY SYSTEM,1.0,Universidade De Sao Paulo Faculdade De Medicina Veterinaria E Zootecnia,1.0,,,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DO GOIAS FAPEG,1.0
,,,,"Mineo, Jose Roberto",1,,,,,,,,,,,UNIV FED JATAI,1.0,University Of Kansas College Of Liberal Arts And Sciences,1.0,,,,,,,,,,,,,INTERNATIONAL INSTITUTE FOR EDUCATION,1.0
,,,,"Pine, Ronald H.",1,,,,,,,,,,,UNIVERSIDAD AUSTRAL DE CHILE,1.0,University Of Kansas Department Of Ecology And Evolutionary Biology,1.0,,,,,,,,,,,,,MARSHALL FIELD COLLECTION FUND OF THE FIELD MUSEUM IN CHICAGO,1.0
,,,,"Cunha, Nicolay Leme da",1,,,,,,,,,,,UNIVERSIDAD DE CONCEPCION,1.0,University Of Kansas Natural History Museum And Biodiversity Research Center,1.0,,,,,,,,,,,,,MARY RICE FOUNDATION,1.0
,,,,"Nardoto, Gabriela Bielefeld",1,,,,,,,,,,,UNIVERSIDAD NACIONAL DEL COMAHUE,1.0,,,,,,,,,,,,,,,PROGRAMA DE INICIACAO CIENTIFICA E TECNOLOGICA,1.0
,,,,"Castro Minuzzi Souza, Thais Tamara",1,,,,,,,,,,,UNIVERSIDADE CATOLICA DE BRASILIA,1.0,,,,,,,,,,,,,,,RESEARCH PRODUCTIVITY GRANT,1.0
,,,,"Suzin, Adriane",1,,,,,,,,,,,UNIVERSIDADE DE SAO PAULO,1.0,,,,,,,,,,,,,,,TTU ASSOCIATION OF BIOLOGISTS TTUAB,1.0
,,,,"Tribe, Christopher J.",1,,,,,,,,,,,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,1.0,,,,,,,,,,,,,,,TTU GRADUATE SCHOOL,1.0
,,,,"Valdez, Lourdes",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DA PARAIBA,1.0,,,,,,,,,,,,,,,,
,,,,"Morais, Alessandro",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,1.0,,,,,,,,,,,,,,,,
,,,,"CARDOSO, RM",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO PARANA,1.0,,,,,,,,,,,,,,,,
,,,,"de la Sancha, Noé",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,,,,,,,,,,,,,,,,
,,,,"Cerezer, Felipe Osmari",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,1.0,,,,,,,,,,,,,,,,
,,,,"Dietrich, A",1,,,,,,,,,,,UNIVERSITY OF CAMBRIDGE,1.0,,,,,,,,,,,,,,,,
,,,,"Ribeiro, Paulo",1,,,,,,,,,,,UNIVERSITY OF KANSAS,1.0,,,,,,,,,,,,,,,,
,,,,"Sponchiado, Jonas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Terribile, Levi Carina",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Moreira, Rafael",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Palma, Alexandre",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Sano, Nayara Yoshie",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Perez-Estigarribia, Pastor",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Timbo, Renata",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Kneitel, Jamie",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Vital, Tamires",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Obara, Marcos Takashi",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Araujo, L. M. G.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ferrando, C. P. R.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Lima, Anna Monteiro Correia",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ribeiro, Juliana Fernandes",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Hecht, Mariana",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Mendes, J.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Reis, Guilherme Gonçalves dos",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Reis, Marcelo Lima",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Oliveira, Karine Rezende",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Mineo, Tiago W. P.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ramos, Vanessa do Nascimento",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Roth, Paulo Ricardo de Oliveira",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Araujo, Iasmin Aparecida Cunha",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Oliveira, Marco Miguel de",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ramirez, Diego",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Oliveira, M. M.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ParreiraClaro, HermesWillyan",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Minuzzi-Sousa, Thais Tamara Castro",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Rapello, Aline",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Szabó, Matias Pablo Juan PJ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
