Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
,,,,"Ferreira, Eduardo",1,,,,,,,,,,,FUNDACAO OSWALDO CRUZ,1.0,,,TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE,1.0,,,,,Walter De Gruyter,1.0,,,,,FUNDACAO PARA A CIENCIA E A TECNOLOGIA FCT,1.0,,
,,,,"Neta, Alcina V. C.",1,,,,,,,,,,,GEORGE MASON UNIVERSITY,1.0,,,VECTOR BORNE AND ZOONOTIC DISEASES,1.0,,,,,,,,,,,FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA,1.0,,
,,,,"Mills, James N.",1,,,,,,,,,,,INSTITUTO EVANDRO CHAGAS,1.0,,,ZOOLOGIA,1.0,,,,,,,,,,,ORGANIZACOES GLOBO MEDIA CONGLOMERATE,1.0,,
,,,,"Rosa, Elizabeth",1,,,,,,,,,,,MUSEO CIENCIAS NAT RVDO P ANTONIO SCASSO,1.0,,,,,,,,,,,,,,,PROCAD,1.0,,
,,,,"Costa, Leonora Pires",1,,,,,,,,,,,SECRETARIA VIGILANCIA SAUDE,1.0,,,,,,,,,,,,,,,SMITHSONIAN MASON SCHOOL OF CONSERVATION GEORGE MASON UNIVERSITY,1.0,,
,,,,"Silva-Soares, Raynara Fernanda",1,,,,,,,,,,,SEPANGUY,1.0,,,,,,,,,,,,,,,UNIVERSITY MONTPELLIER 2,1.0,,
,,,,"Abreu-Silva, Ana",1,,,,,,,,,,,SIMON BOLIVAR UNIVERSITY,1.0,,,,,,,,,,,,,,,,,,
,,,,"Viegas-Melo, Davi",1,,,,,,,,,,,SMITHSONIAN INSTITUTION,1.0,,,,,,,,,,,,,,,,,,
,,,,"Teta, P.",1,,,,,,,,,,,SMITHSONIAN NATIONAL ZOOLOGICAL PARK CONSERVATION BIOLOGY INSTITUTE,1.0,,,,,,,,,,,,,,,,,,
,,,,"Fonseca, Carlos MMS",1,,,,,,,,,,,TEXAS TECH UNIVERSITY SYSTEM,1.0,,,,,,,,,,,,,,,,,,
,,,,"Valbuena-Torrealba, Carolina",1,,,,,,,,,,,UFT,1.0,,,,,,,,,,,,,,,,,,
,,,,"Pereira, Felipe Bisaggio",1,,,,,,,,,,,UNIVERSIDADE DE AVEIRO,1.0,,,,,,,,,,,,,,,,,,
,,,,"Voglino, Damian",1,,,,,,,,,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,1.0,,,,,,,,,,,,,,,,,,
,,,,"Vasconcelos, Pedro",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL PAULISTA,1.0,,,,,,,,,,,,,,,,,,
,,,,"Rocha, Rita Gomes",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,1.0,,,,,,,,,,,,,,,,,,
,,,,"Prado, Joyce",1,,,,,,,,,,,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,1.0,,,,,,,,,,,,,,,,,,
,,,,"Dantas-Torres, Filipe",1,,,,,,,,,,,UNIVERSITE DE MONTPELLIER,1.0,,,,,,,,,,,,,,,,,,
,,,,"Baglan, Antoine",1,,,,,,,,,,,UNIVERSITY OF CENTRAL VENEZUELA,1.0,,,,,,,,,,,,,,,,,,
,,,,"Rodrigues, Vanessa",1,,,,,,,,,,,UNIVERSITY OF LOS ANDES VENEZUELA,1.0,,,,,,,,,,,,,,,,,,
,,,,"Brito, Maria Edileuza Felinto de",1,,,,,,,,,,,UNIVERSITY OF MICHIGAN,1.0,,,,,,,,,,,,,,,,,,
,,,,"Montefeltro, Felipe Chinaglia",1,,,,,,,,,,,UNIVERSITY OF MICHIGAN SYSTEM,1.0,,,,,,,,,,,,,,,,,,
,,,,"Eiris, Gabriela C.",1,,,,,,,,,,,UNIVERSITY OF OXFORD,1.0,,,,,,,,,,,,,,,,,,
,,,,"Edelstein, A",1,,,,,,,,,,,UNIVERSITY OF SYDNEY,1.0,,,,,,,,,,,,,,,,,,
,,,,"de Almeida, Ericka Lima",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Brandão-Filho, Sinval Pinto",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"dos Santos-Ribeiro, Larissa Sarmento",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Elkhoury, Mauro R.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"do Carmo-Silva, Carla Fernanda",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Rezende, Michelle Carvalho",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Tavares, Diogo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Neves, Renata Heisler",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Castañeda-Rico, Susette",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Lima Lica, Irlla Correia",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Melo, Solange de Araujo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Eduardo Pefaur-Vega, Jaime",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Catzeflis, F. M.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"da Penha-Silva, Tatiane Aranha",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Percequillo, Alexandre",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Mendes, Wellington",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Knowles, Lacey L.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Machado-Silva, José",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Rabelo, Elida ML",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jesus Maldonado,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Gomes, Francisco",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Marinho-Junior, Jose F.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Thomas G Ksiazek,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Rosa, JFST",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Santos, Elizabeth Davi",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dias Araujo, Gilberto Cifuentes",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Langer, Max",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Martinez, Valeria Paula",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Leite, Yuri L. R.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Fernandez, Fernando J.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Teles-Reis, Andrea",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Castro, Mariela C",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Pardinas, Ulyses",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Barreto, Guillermo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"da Silva-Souza, Neuton",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Carvalho, Maria Eduarda Lima",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Oliveira, Renata M.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bruna Genisa Costa Lima,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Andrade, Fabio Henrique Evangelista",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Oliveira, Vinicius Gustavo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dowler, Robert",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Edwards, Cody W.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Furtado, Luis",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Frazao, Gleycka",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Padula, P",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"da Silva, Ana Paula Ferreira",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
