Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
1991.0,1.0,,,"Lobo, Jorge M",1,,,,,,,,,,,CENTRO NACIONAL PATAGONICO CENPAT,1.0,,,ZOOLOGIA,1.0,,,,,Wiley,1.0,,,,,INCUAPA FACSO UNCPBA,1.0
,,,,"Cenizo, Marcos",1,,,,,,,,,,,COMISION NACIONAL DE ENERGIA ATOMICA CNEA,1.0,,,ZOOTAXA,1.0,,,,,,,,,,,INSTITUTO NACIONAL DE CIENCIAS E TECNOLOGIA EM AREAS UMIDAS MINISTERIO DE CIENCIAS E TECNOLOGIA INAU MCT,1.0
,,,,"Machado, Felipe S",1,,,,,,,,,,,COMPLUTENSE UNIVERSITY OF MADRID,1.0,,,,,,,,,,,,,,,NATIONAL UNIVERSITY OF LA PLATA,1.0
,,,,"Voss, Robert s.",1,,,,,,,,,,,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC,1.0,,,,,,,,,,,,,,,SPANISH GOVERNMENT,1.0
,,,,"Teta, P.",1,,,,,,,,,,,CSIC MUSEO NACIONAL DE CIENCIAS NATURALES MNCN,1.0,,,,,,,,,,,,,,,UNIVERSIDAD COMPLUTENSE DE MADRID UCM,1.0
,,,,"Talamoni, Sônia Aparecida",1,,,,,,,,,,,FUNDACAO ZOOBOT RIO GRANDE DO SUL,1.0,,,,,,,,,,,,,,,UNIVERSIDAD NACIONAL DE LA PAMPA,1.0
,,,,"Fonseca, Carlos MMS",1,,,,,,,,,,,INST DESENVOLVIMENTO SUSTENTAVEL MAMIRAUA,1.0,,,,,,,,,,,,,,,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO UNIRIO,1.0
,,,,"Tonni, Eduardo",1,,,,,,,,,,,INST DIV EVOLUC AUSTRAL IDEAUS CONICET,1.0,,,,,,,,,,,,,,,,
,,,,"Turbay, Renata",1,,,,,,,,,,,INST NACL CIENCIA TECNOL AREAS UMIDAS INAU,1.0,,,,,,,,,,,,,,,,
,,,,"Montalvo, Claudia I.",1,,,,,,,,,,,INSTITUTE NACIONAL DE PESQUISAS DA AMAZONIA,1.0,,,,,,,,,,,,,,,,
,,,,"Rocha, Rita Gomes",1,,,,,,,,,,,INSTITUTO BUTANTAN,1.0,,,,,,,,,,,,,,,,
,,,,"Aragona, Monica",1,,,,,,,,,,,INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS INPE,1.0,,,,,,,,,,,,,,,,
,,,,Camilla Di Nizo,1,,,,,,,,,,,NATIONAL CANCER INSTITUTE INCA,1.0,,,,,,,,,,,,,,,,
,,,,"Boroni, Natalia Lima",1,,,,,,,,,,,PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS,1.0,,,,,,,,,,,,,,,,
,,,,"Avilla, Leonardo",1,,,,,,,,,,,TEXAS TECH UNIV,1.0,,,,,,,,,,,,,,,,
,,,,"Dias, MM",1,,,,,,,,,,,UNIV MAIMONIDES,1.0,,,,,,,,,,,,,,,,
,,,,"García-Morato, Sara",1,,,,,,,,,,,UNIV NACL LA PAMPA,1.0,,,,,,,,,,,,,,,,
,,,,"Moreira, Camila do Nascimento",1,,,,,,,,,,,UNIVERSIDAD DE CONCEPCION,1.0,,,,,,,,,,,,,,,,
,,,,"Das Neves, Simone Baes",1,,,,,,,,,,,UNIVERSIDADE DE AVEIRO,1.0,,,,,,,,,,,,,,,,
,,,,"Salles, Leandro O.",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE LAVRAS,1.0,,,,,,,,,,,,,,,,
,,,,"Scheifler, Nahuel A.",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,1.0,,,,,,,,,,,,,,,,
,,,,"Wolf, Rafael",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,1.0,,,,,,,,,,,,,,,,
,,,,"Saldanha, João Pedro",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SAO CARLOS,1.0,,,,,,,,,,,,,,,,
,,,,"Fernandez-alvo, Yolanda",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,1.0,,,,,,,,,,,,,,,,
,,,,"Weksler, Marcelo",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,1.0,,,,,,,,,,,,,,,,
,,,,"Lima, Ivan Junqueira",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Mayer, Elver L.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de AB Pires, Carolina",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Almeida, Luis Henrique de Oliveira",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ribeiro, Ana Maria",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Alberti, A. M.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Owen, Robert D.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
