Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
2014.0,1.0,,,"Maroja, Luana",7,Biochemistry Molecular Biology,5.0,1.65 Allergy,1.0,1.158.918 Melanogenesis Mechanisms,1.0,,,,,INSTITUTE NACIONAL DE PESQUISAS DA AMAZONIA,4,The University Of Oklahoma College Of Arts And Sciences,3.0,INTERNATIONAL JOURNAL FOR PARASITOLOGY PARASITES AND WILDLIFE,3.0,,,ITALY,1.0,Soc Brasil Genetica,4.0,Biochemistry Molecular Biology,5.0,,,FUNDACAO OSWALDO CRUZ FIOCRUZ,2.0,,,,,,
2013.0,5.0,,,"Labruna, Marcelo B",6,Biodiversity Conservation,4.0,,,1.228.994 Viral Hemorrhagic Fevers,1.0,,,,,INSTITUTO BUTANTAN,4,The University Of Oklahoma Department Of Biology,3.0,PARASITOLOGY,3.0,,,KENYA,1.0,"Systematic & Applied Acarology Soc London, Natural History Museum",3.0,Biodiversity Conservation,4.0,,,FUNDACAO OSWALDO CRUZ FIOCRUZ BRAZIL,2.0,,,,,,
2012.0,7.0,,,"Pinheiro, Jairo",6,Evolutionary Biology,4.0,,,1.246.985 Cryptosporidium,1.0,,,,,INSTITUTO FEDERAL DO MARANHAO,4,University Of Cambridge Department Of Veterinary Medicine,3.0,PLOS NEGLECTED TROPICAL DISEASES,3.0,,,PORTUGAL,1.0,Taylor & Francis,3.0,Evolutionary Biology,4.0,,,INSTITUTO OSWALDO CRUZ,2.0,,,,,,
2011.0,4.0,,,"Rodrigues-Silva, Rosângela",6,Biology,3.0,,,1.258.1958 Leptospirosis Epidemiology,1.0,,,,,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,4,University Of Cambridge School Of The Biological Sciences,3.0,PLOS ONE,3.0,,,URUGUAY,1.0,AMER SOC PARASITOLOGISTS,2.0,Cell Biology,3.0,,,INSTITUTO OSWALDO CRUZ FIOCRUZ,2.0,,,,,,
2010.0,5.0,,,"Bergallo, Helena Godoy",5,Cell Biology,3.0,,,1.65.1177 Eosinophilic Disorders,1.0,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,4,Federal Fluminense University Faculty Of Medicine,2.0,SYSTEMATIC AND APPLIED ACAROLOGY,3.0,,,VENEZUELA,1.0,Allen Press Inc,2.0,Life Sciences Biomedicine Other Topics,3.0,,,NIH NATIONAL INSTITUTE OF ALLERGY INFECTIOUS DISEASES NIAID,2.0,,,,,,
2009.0,2.0,,,"GOMES, DC",5,Medicine Research Experimental,3.0,,,3.35.2036 Avian Parasitology,1.0,,,,,UNIVERSIDADE FEDERAL FLUMINENSE,4,University Of New Mexico College Of Arts And Sciences,2.0,VETERINARY PARASITOLOGY,3.0,,,WALES,1.0,Assoc Bras Divulg Cientifica,2.0,Research Experimental Medicine,3.0,,,OSWALDO CRUZ INSTITUTE IOC FIOCRUZ,2.0,,,,,,
2008.0,4.0,,,"Silva, Maria José J",4,Immunology,2.0,,,3.40.195 Biodiversity Conservation,1.0,,,,,FIOCRUZ RESEARCH CENTER RENE RACHOU,3,University Of New Mexico Department Of Biology,2.0,ZOOLOGICHESKY ZHURNAL,3.0,,,,,Inst Medicina Tropical Sao Paulo,2.0,General Internal Medicine,2.0,,,SPANISH GOVERNMENT,2.0,,,,,,
2007.0,4.0,,,"LENZI, HL",4,Medicine General Internal,2.0,,,3.64.34 Phylogenetic Relationships,1.0,,,,,NATIONAL UNIVERSITY OF LA PLATA,3,University Of Warwick Faculty Of Science Engineering And Medicine,2.0,ACTA THERIOLOGICA,2.0,,,,,Karger,2.0,Immunology,2.0,,,ASOCIACION COOPERADORA INTA RAFAELA,1.0,,,,,,
2006.0,2.0,,,"Moreira, Miguel Angelo Martins",4,Microbiology,2.0,,,3.64.864 Evolutionary Dynamics,1.0,,,,,UNIVERSIDADE DE BRASILIA,3,University Of Warwick School Of Life Sciences,2.0,ACTA TROPICA,2.0,,,,,MUSEUM NAT HIST NATURELLE,2.0,Microbiology,2.0,,,BRAZILIAN MINISTRY FOR THE ENVIRONMENT,1.0,,,,,,
2005.0,5.0,,,"Brandão-Filho, Sinval Pinto",4,Plant Sciences,2.0,,,,,,,,,UNIVERSIDADE ESTADUAL DO MARANHAO,3,Aberystwyth University Faculty Of Earth And Life Sciences,1.0,CYTOGENETIC AND GENOME RESEARCH,2.0,,,,,Magnolia Press,2.0,Plant Sciences,2.0,,,CARLOS CHAGAS FILHO FOUNDATION FOR RESEARCH SUPPORT IN RIO DE JANEIRO,1.0,,,,,,
