Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Group Authors,Group Authors_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
2015.0,22.0,Retracted Publication,1.0,Leah A. Krubitzer,26,Evolutionary Biology,63.0,1.54 Molecular & Cell Biology - Genetics,41.0,1.239.1358 Blood-brain Barrier,26,,,,,UNIVERSITY OF SYDNEY,41,Texas A M University Department Of Veterinary Integrative Biosciences,25,IMMUNOGENETICS,17,,,SWEDEN,27.0,C S I R O PUBLICATIONS,17,Evolutionary Biology,63.0,,,WELLCOME TRUST,28,EXPERIMENTAL BIOLOGY MEETING,2.0,,,Methods In Molecular Biology,1.0,Asher RJ,1.0
2014.0,44.0,,,"JACOBSON, C",25,Biology,62.0,3.64 Phylogenetics & Genomics,29.0,1.108.207 Neural Crest,23,,,,,IOWA STATE UNIVERSITY,35,University Of California Davis Center For Neuroscience,25,ANATOMICAL RECORD ADVANCES IN INTEGRATIVE ANATOMY AND EVOLUTIONARY BIOLOGY,16,,,JAPAN,26.0,AMER SOC PHOTOBIOLOGY,14,Life Sciences Biomedicine Other Topics,62.0,,,EUROPEAN UNION EU,20,SYMPOSIUM ON FUNCTIONAL MORPHOLOGY OF THE REPTILIAN FIVE CHAMBERED HEART HELD AT THE 7TH INTERNATIONAL CONGRESS OF VERTEBRATE MORPHOLOGY,2.0,,,Nato Advanced Science Institutes Series Series A Life Sciences,1.0,Bornman JF,1.0
2013.0,24.0,,,"Nicholls, John",25,Behavioral Sciences,56.0,1.239 Tissue Barriers,27.0,1.150.421 Auditory Disorders,22,,,,,UNIVERSITY OF TASMANIA,35,University Of New Mexico Center For Evolutionary And Theoretical Immunology,23,HORMONES AND BEHAVIOR,15,,,ITALY,21.0,Frontiers Media Sa,14,Behavioral Sciences,56.0,,,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,18,10TH INTERNATIONAL CONGRESS ON PHOTOBIOLOGY,1.0,,,Nato Science Series Iv Earth And Environmental Sciences,1.0,Checcucci G,1.0
2012.0,31.0,,,"Applegate, Lee Ann",25,Multidisciplinary Sciences,51.0,1.108 Molecular & Cell Biology - Cancer & Development,25.0,1.54.100 Epigenetic Regulation,19,,,,,AUSTRALIAN NATIONAL UNIVERSITY,34,New Jersey Medical School Department Of Psychiatry,22,JOURNAL OF EXPERIMENTAL BIOLOGY,15,,,DENMARK,14.0,Mdpi,13,Science Technology Other Topics,51.0,,,GERMAN RESEARCH FOUNDATION DFG,17,10TH INTERNATIONAL SYMPOSIUM ON CHEMICAL SIGNALS IN VERTEBRATES,1.0,,,Novartis Foundation Symposium,1.0,Doty RL,1.0
2011.0,32.0,,,"Shaw, Geoff",23,Physiology,49.0,1.150 Hearing Loss,22.0,1.6.607 Mhc Diversity,19,,,,,OHIO STATE UNIVERSITY,34,New Jersey Medical School Division Of Clinical Sciences,22,JOURNAL OF PHYSIOLOGY LONDON,14,,,CHILE,13.0,Royal Soc London,13,Physiology,49.0,,,NIH NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES NIGMS,17,13TH ANNUAL GROWTH FACTOR AND SIGNAL TRANSDUCTION CONFERENCE,1.0,,,Vitamins And Hormones,1.0,Eyzaguirre C,1.0
2010.0,53.0,,,C. Joakim Ek,22,Endocrinology Metabolism,33.0,1.164 Endocrinology & Metabolism,19.0,1.81.176 Male Fertility,19,,,,,UNIVERSITY OF BASEL,34,University Of California Davis College Of Letters And Science,21,LABORATORY ANIMAL SCIENCE,14,,,ARGENTINA,11.0,Soc Study Reproduction,13,Endocrinology Metabolism,33.0,,,NSF DIRECTORATE FOR BIOLOGICAL SCIENCES BIO,16,13TH INTERNATIONAL CONGRESS ON GENES GENE FAMILIES AND ISOZYMES,1.0,,,,,Ghetti F,1.0
2009.0,63.0,,,"VandeBerg, JL",22,Oncology,32.0,"1.25 Molecular & Cell Biology - Cancer, Autophagy & Apoptosis",18.0,1.5.987 Neurosteroids,18,,,,,STATE UNIVERSITY OF NEW YORK SUNY SYSTEM,32,University Of California Davis Department Of Psychology,21,ANATOMICAL RECORD,13,,,PEOPLES R CHINA,11.0,Oxford University Press,12,Oncology,32.0,,,NIH NATIONAL INSTITUTE OF DIABETES DIGESTIVE KIDNEY DISEASES NIDDK,15,14TH INTERNATIONAL WORKSHOP ON ENZYMOLOGY AND MOLECULAR BIOLOGY OF CARBONYL METABOLISM,1.0,,,,,Godfrey DA,1.0
2008.0,41.0,,,"Turlejski, Krzysztof",21,Biophysics,31.0,1.36 Ophthalmology,15.0,1.164.613 Gnrh,17,,,,,UNIVERSITY OF CALIFORNIA DAVIS,31,University Of California Davis Division Of Social Sciences,21,JOURNAL OF REPRODUCTION AND FERTILITY,13,,,NETHERLANDS,10.0,Sage,12,Biophysics,31.0,,,UK RESEARCH INNOVATION UKRI,15,15TH CONGRESS OF THE INTERNATIONAL SOCIETY OF DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY ISDCI,1.0,,,,,Hadjantonakis AK,1.0
2007.0,49.0,,,"Deakin, Janine",21,Biotechnology Applied Microbiology,30.0,1.258 Zoonotic Diseases,14.0,1.36.212 Genetic Retinopathies,15,,,,,DUKE UNIVERSITY,30,The University Of Sydney School Of Veterinary Science,20,JOURNAL OF ZOOLOGY,13,,,SPAIN,10.0,COMPANY OF BIOLOGISTS LTD,11,Biotechnology Applied Microbiology,30.0,,,MEDICAL RESEARCH COUNCIL UK MRC,14,18TH BIENNIAL MEETING OF THE INTERNATIONAL SOCIETY FOR DEVELOPMENTAL NEUROSCIENCE,1.0,,,,,Juiz JM,1.0
2006.0,53.0,,,"Graves, Jennifer A.M.",21,Dermatology,28.0,8.305 Paleontology,13.0,1.258.227 Tick-borne Pathogens,14,,,,,HARVARD UNIVERSITY,30,Duke University Trinity College Of Arts And Sciences,19,BRAIN BEHAVIOR AND EVOLUTION,12,,,RUSSIA,9.0,Natl Acad Sciences,11,Environmental Sciences Ecology,30.0,,,NIH NATIONAL EYE INSTITUTE NEI,14,18TH INTERNATIONAL CONGRESS OF DEVELOPMENTAL BIOLOGY,1.0,,,,,Keshet E,1.0
