Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Group Authors,Group Authors_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
1989.0,15.0,,,"Pflieger, Jean-Francois",11,Environmental Sciences,6.0,1.7 Neuroscanning,5.0,1.5.767 Hippocampal Neurogenesis,7,,,,,OBERLIN COLLEGE,16,Australian National University Research School Of Biology,11,BMC GENOMICS,8,,,SLOVENIA,2.0,Journal Hard Tissue Biology,4,Biodiversity Conservation,5.0,,,ALEXANDER VON HUMBOLDT FOUNDATION,6,6TH INTERNATIONAL CONGRESS OF COMPARATIVE PHYSIOLOGY AND BIOCHEMISTRY,1.0,,,,,Sakaguchi DS,1.0
1988.0,17.0,,,"Rodger, John J.",11,Ophthalmology,6.0,1.72 Obstetrics & Gynecology,5.0,3.64.71 Genetic Diversity,7,,,,,OHIO UNIVERSITY,16,La Trobe University School Of Agriculture Biomedicine And Environment,11,GENE,8,,,SOUTH KOREA,2.0,KLUWER ACADEMIC PUBL,4,Engineering,5.0,,,GRANTS IN AID FOR SCIENTIFIC RESEARCH KAKENHI,6,6TH INTERNATIONAL CONGRESS OF VERTEBRATE MORPHOLOGY ICVM 6,1.0,,,,,Teicher BA,1.0
1987.0,15.0,,,Shane Liddelow,11,Biodiversity Conservation,5.0,1.181 Molecular Toxicology,4.0,1.154.1057 Pulmonary Surfactant,6,,,,,UNIVERSITY OF ILLINOIS SYSTEM,16,Monash Biomedicine Discovery Institute,11,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B MOLECULAR AND DEVELOPMENTAL EVOLUTION,8,,,TAIWAN,2.0,Mary Ann Liebert Inc,4,Food Science Technology,5.0,,,NIH NATIONAL INSTITUTE OF DENTAL CRANIOFACIAL RESEARCH NIDCR,6,70TH ANNUAL MEETING OF THE SOCIETY FOR DEVELOPMENTAL BIOLOGY,1.0,,,,,Torrance RW,1.0
1986.0,7.0,,,"Wheaton, Ben",11,Chemistry Multidisciplinary,5.0,"1.217 Parasitology - Malaria, Toxoplasmosis & Coccidiosis",4.0,1.218.658 Respiratory Control,6,,,,,UNIVERSITY OF TEXAS AT SAN ANTONIO,16,Monash University Faculty Of Medicine Nursing And Health Sciences,11,MOLECULAR IMMUNOLOGY,8,,,BOLIVIA,1.0,Plenum Press Div Plenum Publishing Corp,4,General Internal Medicine,5.0,,,AGENCE NATIONALE DE LA RECHERCHE ANR,5,77TH ANNUAL MEETING OF THE AMERICAN ASSOCIATION OF PHYSICAL ANTHROPOLOGISTS,1.0,,,,,Walossek D,1.0
1985.0,10.0,,,"van Oorschot, Roland A. H.",11,Engineering Biomedical,5.0,1.255 Musculoskeletal Disorders,4.0,1.5.1501 Cerebellar Function,6,,,,,UPPSALA UNIVERSITY,16,Monash University Sub Faculty Of Biomedical And Psychological Sciences,11,PHYSIOLOGY BEHAVIOR,8,,,ESTONIA,1.0,Urban & Fischer Verlag,4,Infectious Diseases,5.0,,,CANADIAN INSTITUTES OF HEALTH RESEARCH CIHR,5,9TH INTERNATIONAL CONGRESS ON ISOZYMES GENES AND GENE FAMILIES,1.0,,,,,Wassarman PM,1.0
1984.0,2.0,,,"Wagner, Guenter P.",11,Food Science Technology,5.0,1.34 Orthopedics,4.0,1.5.810 Neurotrophins,6,,,,,WESTERN SYDNEY UNIVERSITY,16,The University Of Melbourne Department Of Anatomy And Physiology,11,ACTA ANATOMICA,7,,,HONG KONG SAR,1.0,Walter De Gruyter,4,Nutrition Dietetics,5.0,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,5,ALFRED BENZON SYMPOSIUM 45 ON BRAIN BARRIER SYSTEMS,1.0,,,,,Werb Z,1.0
1983.0,4.0,,,"Halpern, M.",11,Infectious Diseases,5.0,1.79 Molecular & Cell Biology - Physiology,4.0,1.5.941 Oxytocin And Vasopressin,6,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,15,The University Of Sydney School Of Life And Environmental Sciences,11,CHROMOSOME RESEARCH,7,,,INDIA,1.0,AMER COLL VET PATHOLOGIST,3,Obstetrics Gynecology,5.0,,,COMISION NACIONAL DE INVESTIGACION CIENTIFICA Y TECNOLOGICA CONICYT,5,ANNUAL MEETING OF THE AMERICAN ASSOCIATION OF IMMUNOLOGISTS,1.0,,,,,Xiong XG,1.0
1982.0,4.0,,,"Lammers, Andrew",10,Nutrition Dietetics,5.0,"2.190 Surfactants, Lipid Bilayers & Antimicrobial Peptides",4.0,1.102.622 Pluripotent Stem Cells,5,,,,,HARVARD MEDICAL SCHOOL,15,University Of Glasgow School Of Life Sciences,11,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B BIOCHEMISTRY MOLECULAR BIOLOGY,7,,,NORWAY,1.0,Amer Museum Natural History,3,Public Environmental Occupational Health,5.0,,,MINISTRY OF SCIENCE AND HIGHER EDUCATION POLAND,5,ANNUAL SCIENTIFIC MEETING OF THE AUSTRALASIAN SOCIETY OF CLINICAL AND EXPERIMENTAL PHARMACOLOGISTS AND TOXICOLOGISTS,1.0,,,,,Yan ZZ,1.0
1979.0,1.0,,,"Papenfuss, Anthony T",10,Obstetrics Gynecology,5.0,1.134 Trauma & Emergency Surgery,3.0,1.151.760 Bile Acid Metabolism,5,,,,,HARVARD UNIVERSITY MEDICAL AFFILIATES,15,Uppsala University Department Of Biology,11,DEVELOPMENTAL DYNAMICS,7,,,PAKISTAN,1.0,Amer Psychological Assoc,3,Anthropology,4.0,,,NATIONAL SCIENCE CENTRE POLAND,5,BODEN RESEARCH CONFERENCE ON ESTROGENS AND MALE HEALTH,1.0,,,,,Zachos FE,1.0
,,,,"Smith, KK",10,Public Environmental Occupational Health,5.0,1.137 Sleep Science & Circadian Systems,3.0,1.158.1308 Skin Aging Processes,5,,,,,UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN,15,Uppsala University Department Of Cell And Molecular Biology,11,GENOME RESEARCH,7,,,PORTUGAL,1.0,Amer Soc Mammalogists,3,Microscopy,4.0,,,RESEARCH COUNCIL OF FINLAND,5,CHEMICAL SIGNALS IN VERTEBRATES VIII MEETING,1.0,,,,,Zapata P,1.0
,,,,"Stone, W",10,Anthropology,4.0,1.257 Birth Defects,3.0,1.195.578 Neuropeptide Roles,5,,,,,WALTER ELIZA HALL INSTITUTE,15,Uppsala University Faculty Of Science And Technology,11,HEARING RESEARCH,7,,,THAILAND,1.0,Annual Reviews,3,Dentistry Oral Surgery Medicine,3.0,,,UNIVERSITY OF RIJEKA,5,CONFERENCE OF THE NATO ADVANCED STUDY INSTITUTE ON ENVIRONMENTAL UV RADIATION IMPACT ON ECOSYSTEMS AND HUMAN HEALTH AND PREDICTIVE MODELS,1.0,,,,,,
,,,,"Jackson, Leslie",10,Microscopy,4.0,1.43 Anesthesiology,3.0,1.25.537 C-myc,5,,,,,YALE UNIVERSITY,15,Yale University Department Of Ecology And Evolutionary Biology,11,PROCEEDINGS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES,7,,,TURKEY,1.0,C S I R O PUBLISHING,3,Entomology,3.0,,,CONICYT FONDECYT,4,HAVEMEYER FOUNDATION SYMPOSIUM TO CELEBRATE THE LIFE AND WORK OF RODGER V SHORT,1.0,,,,,,
,,,,"Cabana, Tanguy",10,Critical Care Medicine,3.0,1.106 Rheumatology,2.0,1.5.393 Spiking Neural Networks,5,,,,,LEIBNIZ INSTITUT FUR EVOLUTIONS UND BIODIVERSITATSFORSCHUNG,14,Ohio University Department Of Biomedical Sciences,10,REPRODUCTION,7,,,,,Carnegie Museum Natural History,3,Allergy,2.0,,,INTERNATIONAL CENTRE FOR GENETIC ENGINEERING AND BIOTECHNOLOGY ICGEB,4,INTERNATIONAL SYMPOSIUM ON NEUROPROTECTION AND VASCULAR RISK FACTORS IN GLAUCOMA,1.0,,,,,,
,,,,"Ferner, Kirsten",10,Dentistry Oral Surgery Medicine,3.0,1.130 Lymphomas,2.0,1.68.69 Lipoprotein Metabolism,5,,,,,STATE UNIVERSITY SYSTEM OF FLORIDA,14,Ohio University Heritage College Of Osteopathic Medicine,10,FRONTIERS IN NEUROANATOMY,6,,,,,Gustav Fischer Verlag Jena,3,Cardiovascular System Cardiology,2.0,,,NEW ZEALAND FOUNDATION FOR RESEARCH SCIENCE AND TECHNOLOGY,4,LOREAL PHOTOPROTECTION EXPERTS MEETING,1.0,,,,,,
,,,,"Cooper, D. W.",10,Entomology,3.0,1.147 Prostate Cancer,2.0,1.81.1408 Fertility Preservation,5,,,,,UNIVERSITY OF ADELAIDE,14,University Of Miami School Of Medicine,10,INTEGRATIVE AND COMPARATIVE BIOLOGY,6,,,,,Revista Pesquisa Veterinaria Brasileira,3,Gastroenterology Hepatology,2.0,,,NSF DIRECTORATE FOR GEOSCIENCES GEO,4,MEETING OF THE INTERNATIONAL FEDERATION OF PLACENTA ASSOCIATIONS IFPA,1.0,,,,,,
,,,,"Hubbard, Gene",10,Psychology Multidisciplinary,3.0,1.189 Genome Studies,2.0,1.195.1096 Gastrin/cck Functions,4,,,,,UNIVERSITY OF NEW SOUTH WALES SYDNEY,14,University Of New Mexico School Of Medicine,10,JOURNAL OF NEUROBIOLOGY,6,,,,,Amer Chemical Soc,2,Geriatrics Gerontology,2.0,,,SPANISH GOVERNMENT,4,MEETING ON THE NEURAL CREST,1.0,,,,,,
,,,,"Mate, Karen E.",9,Allergy,2.0,1.219 Cancer Drugs,2.0,1.25.656 P53,4,,,,,UNIVERSITY OF TEXAS RIO GRANDE VALLEY,14,Yale School Of Medicine,10,JOURNAL OF VERTEBRATE PALEONTOLOGY,6,,,,,Amer Soc Trop Med & Hygiene,2,Hematology,2.0,,,UNIVERSITY OF MELBOURNE,4,NATO ADVANCED RESEARCH WORKSHOP ON THE MAMMALIAN COCHLEAR NUCLEI ORGANIZATION AND FUNCTION,1.0,,,,,,
,,,,"Zeller, U",9,Cardiac Cardiovascular Systems,2.0,1.228 Virology - Tropical Diseases,2.0,1.281.1236 Amyloidosis,4,,,,,INTERNATIONAL SCHOOL FOR ADVANCED STUDIES SISSA,13,University Of New South Wales Medicine Health,9,LABORATORY ANIMALS,6,,,,,Apple Acad Press Inc,2,Mathematical Computational Biology,2.0,,,YALE UNIVERSITY,4,SCIENTIFIC MEETING OF THE PHYSIOLOGICAL SOCIETY,1.0,,,,,,
,,,,"Dooley, Thomas P.",9,Gastroenterology Hepatology,2.0,1.248 Sexually Transmitted Infections,2.0,1.49.928 Dental Regeneration,4,,,,,UNIVERSITY OF NEWCASTLE,13,University Of New South Wales School Of Biomedical Sciences,9,MARSUPIAL GENETICS AND GENOMICS,6,,,,,Assoc Research Vision Ophthalmology Inc,2,Pediatrics,2.0,,,ACEV FOUNDATION,3,SEGERFALK SYMPOSIUM ON PRINCIPLES OF SPINAL CORD FUNCTION PLASTICITY AND REPAIR,1.0,,,,,,
,,,,"Bartkowska, Katarzyna",9,Geriatrics Gerontology,2.0,1.253 Nerve Disorders,2.0,1.54.1935 Codon Usage,4,,,,,UNIVERSITY OF SOUTHAMPTON,13,University Of Pittsburgh Schools Of The Health Sciences,9,MOLECULAR REPRODUCTION AND DEVELOPMENT,6,,,,,B C Decker Inc,2,Radiology Nuclear Medicine Medical Imaging,2.0,,,AMERICAN SOCIETY OF MAMMALOGISTS,3,SYMPOSIUM ON CELL OSMOTIC RELATIONS DURING SALINITY AND DEHYDRATION STRESSES,1.0,,,,,,
,,,,"Johansson, Pia A.",9,Hematology,2.0,1.286 Immunology & Hematology,2.0,1.65.936 Mast Cell Functions,4,,,,,UNIVERSITY OF VIRGINIA,13,Western Sydney University School Of Science,9,NATURE,6,,,,,Brazilian Coll Veterinary Parasitology,2,Urology Nephrology,2.0,,,AUSTRALIAN GOVERNMENT,3,SYMPOSIUM ON MECHANISMS AND PREVENTION OF ENVIRONMENTALLY CAUSED CANCERS,1.0,,,,,,
,,,,"Bartek, Jiri",9,Mathematical Computational Biology,2.0,1.42 Bacteriology,2.0,1.82.811 Transcranial Magnetic Stimulation,4,,,,,COMMONWEALTH SCIENTIFIC INDUSTRIAL RESEARCH ORGANISATION CSIRO,12,Yale University Department Of Obstetrics Gynecology And Reproductive Sciences,9,VETERINARY PATHOLOGY,6,,,,,Current Biology Ltd,2,Business Economics,1.0,,,BILL MELINDA GATES FOUNDATION,3,SYMPOSIUM ON THE GENETICS AND BIOLOGY OF SEX DETERMINATION,1.0,,,,,,
,,,,"Biknevicius, Audrone R.",9,Medicine General Internal,2.0,1.75 Blood Clotting,2.0,2.190.857 Antimicrobial Peptides,4,,,,,EBERHARD KARLS UNIVERSITY OF TUBINGEN,12,Ohio State University Medical Center,8,ZOOLOGY,6,,,,,Endocrine Soc,2,Education Educational Research,1.0,,,CANADA FOUNDATION FOR INNOVATION,3,SYMPOSIUM ON TISSUE REMODELING,1.0,,,,,,
,,,,"Brunjes, P. C.",9,Pediatrics,2.0,1.96 Cell Biology,2.0,3.35.683 Reptile Ecology,4,,,,,UNIVERSITY OF MIAMI,12,The Ohio State University College Of Medicine,8,AMERICAN ZOOLOGIST,5,,,,,F Hernandez,2,Geology,1.0,,,DUKE UNIVERSITY,3,UICC MEETING ON BREAST CANCER SCREENING IN PRE MENOPAUSAL WOMEN IN DEVELOPED COUNTRIES,1.0,,,,,,
,,,,"Kress, A",8,Psychology,2.0,"2.123 Protein Stucture, Folding & Modelling",2.0,1.132.1265 Craniosynostosis & Fgfr,3,,,,,UNIVERSITY OF PITTSBURGH,12,University Of New Mexico S Health Sciences Center,8,BEHAVIOURAL BRAIN RESEARCH,5,,,,,Gustav Fischer Verlag,2,Nuclear Science Technology,1.0,,,LEVERHULME TRUST,3,VITH INTERNATIONAL CONFERENCE ON TOOTH MORPHOGENESIS AND DIFFERENTIATION,1.0,,,,,,
,,,,"Maziarz, Jamie",8,Radiology Nuclear Medicine Medical Imaging,2.0,1.113 Brain Imaging,1.0,1.137.217 Circadian-melatonin,3,,,,,UNIVERSITY OF TEXAS AUSTIN,12,University Of New South Wales Discipline Of Anatomy,8,CANCER RESEARCH,5,,,,,Humana Press Inc,2,Orthopedics,1.0,,,NATIONAL GEOGRAPHIC SOCIETY,3,WINTER MEETING ON EVOLUTION OF DEVELOPMENTAL MECHANISMS OF THE ANATOMICAL SOCIETY,1.0,,,,,,
,,,,"McCarrey, John R.",8,Urology Nephrology,2.0,1.117 Pharmacology & Toxicology,1.0,1.196.68 Microrna In Cancer,3,,,,,TRINITY UNIVERSITY,11,University Of Oxford Medical Sciences Division,8,CELL AND TISSUE RESEARCH,5,,,,,Int Inst Ecology,2,Plant Sciences,1.0,,,NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA NSFC,3,XIIITH INTERNATIONAL SYMPOSIUM ON ARTERIAL CHEMORECEPTORS,1.0,,,,,,
,,,,"Ross, Lynda",8,Business,1.0,"1.118 Soft Tissue, Bone & Nerve Cancers",1.0,1.217.1038 Toxoplasma Gondii,3,,,,,UNITED STATES DEPARTMENT OF ENERGY DOE,11,Stanford Medicine,7,CHEMICAL SENSES,5,,,,,M H Schaper Gmbh Co Kg,2,Psychiatry,1.0,,,NENCKI INSTITUTE OF EXPERIMENTAL BIOLOGY OF THE POLISH ACADEMY OF SCIENCES,3,XXXIIND NORDIC CONGRESS OF OPHTHALMOLOGY,1.0,,,,,,
,,,,"Holmes, Roger S.",8,Chemistry Analytical,1.0,1.127 Molecular & Cell Biology - Pharmacology,1.0,1.255.1081 Microgravity Muscle Adaptation,3,,,,,NATIONAL INSTITUTES OF HEALTH NIH USA,10,Stanford University School Of Medicine,7,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A MOLECULAR INTEGRATIVE PHYSIOLOGY,5,,,,,MARY ANN LIEBERT INC PUBL,2,Respiratory System,1.0,,,NIH NATIONAL HUMAN GENOME RESEARCH INSTITUTE NHGRI,3,,,,,,,,
,,,,"Smith, Kathleen",8,Education Educational Research,1.0,1.129 Back Pain,1.0,1.257.983 Hydrocephalus Management,3,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,10,The University Of Melbourne Melbourne Neuroscience Institute,7,DEVELOPMENT,5,,,,,Natl Research Council Canada,2,Sport Sciences,1.0,,,NIH NATIONAL LIBRARY OF MEDICINE NLM,3,,,,,,,,
,,,,"German, R. Z.",8,Education Scientific Disciplines,1.0,1.141 Hormone Therapy,1.0,1.34.255 Osteoarthritis,3,,,,,UNIVERSITY OF COPENHAGEN,10,The University Of Sydney Faculty Of Medicine And Health,7,GENERAL AND COMPARATIVE ENDOCRINOLOGY,5,,,,,New York Acad Sciences,2,Substance Abuse,1.0,,,NSF OFFICE OF THE DIRECTOR OD,3,,,,,,,,
,,,,"VandeBerg, Jane",8,Geosciences Multidisciplinary,1.0,1.159 Membrane Channels & Receptors,1.0,1.5.560 Hippocampus,3,,,,,UNIVERSITY OF MICHIGAN,10,University Of Cincinnati Department Of Biological Sciences,7,JOURNAL OF NEUROSCIENCE,5,,,,,Peerj Inc,2,Virology,1.0,,,OBERLIN COLLEGE,3,,,,,,,,
,,,,Matthew J Wakefield,8,Nuclear Science Technology,1.0,1.161 Virology - Identification & Sequencing,1.0,1.52.1448 Microglia And Neuroinflammation,3,,,,,UNIVERSITY OF MICHIGAN SYSTEM,10,University Of Cincinnati Mcmicken College Of Arts And Sciences,7,ANIMAL GENETICS,4,,,,,SOC VERTEBRATE PALEONTOLOGY,2,,,,,SWEDISH RESEARCH COUNCIL,3,,,,,,,,
,,,,Joel K. Elmquist,8,Orthopedics,1.0,1.204 Molecular & Cell Biology - Immunotherapy,1.0,1.52.992 Prion Pathogenesis,3,,,,,CORNELL UNIVERSITY,9,University Of Oxford Department Of Physiology Anatomy And Genetics,7,BRAIN RESEARCH BULLETIN,4,,,,,Slack Inc,2,,,,,SWISS NATIONAL SCIENCE FOUNDATION SNSF,3,,,,,,,,
,,,,"Kushwaha, R",8,Peripheral Vascular Disease,1.0,1.225 Hematologic Diseases,1.0,1.54.1543 Flow Cytometry,3,,,,,FUNDACAO OSWALDO CRUZ,9,University Of Pittsburgh Department Of Human Genetics,7,CYTOGENETICS AND CELL GENETICS,4,,,,,"Soc Brasileira Zoologia, Univ Federal Parana",2,,,,,UNITED STATES DEPARTMENT OF AGRICULTURE USDA,3,,,,,,,,
,,,,"Noor, Natassya",8,Plant Sciences,1.0,1.231 Vitamin Metabolism,1.0,1.81.960 Spermatogenesis,3,,,,,KING S COLLEGE LONDON,9,University Of Pittsburgh Graduate School Of Public Health,7,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,4,,,,,Soc Integrative Comparative Biology,2,,,,,UNITED STATES DEPARTMENT OF DEFENSE,3,,,,,,,,
,,,,"Robinson, Eugene S.",8,Psychiatry,1.0,1.247 Migraines & Headaches,1.0,1.106.1420 Sjogren's Syndrome,2,,,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT,9,Vanderbilt University College Of Arts And Science,7,JOURNAL OF CHEMICAL NEUROANATOMY,4,,,,,Staatliches Museum Tierkunde Dresden,2,,,,,AKE WIBERG FOUNDATION,2,,,,,,,,
,,,,"Rosenberg, George",8,Respiratory System,1.0,1.271 Lysosomal Storage Disorders,1.0,1.132.306 Tgf-beta,2,,,,,UNIVERSITY OF HAMBURG,9,Duke Medicine,6,JOURNAL OF EXPERIMENTAL ZOOLOGY,4,,,,,Via Medica,2,,,,,ALABAMA EPSCOR GRADUATE RESEARCH SCHOLARS PROGRAM,2,,,,,,,,
,,,,"Breed, William G.",8,Sport Sciences,1.0,1.291 Testicular Diseases,1.0,1.134.1924 S100b,2,,,,,UNIVERSITY OF MANCHESTER,9,Duke University Health System,6,JOURNAL OF HARD TISSUE BIOLOGY,4,,,,,Wolters Kluwer Medknow Publications,2,,,,,AUBURN UNIVERSITY COLLEGE OF VETERINARY MEDICINE,2,,,,,,,,
,,,,"Knott, Graham",8,Substance Abuse,1.0,1.44 Nutrition & Dietetics,1.0,1.152.257 Repair Mechanisms,2,,,,,UNIVERSITY OF NEW MEXICO S HEALTH SCIENCES CENTER,9,Duke University Medical Center,6,JOURNAL OF MAMMALIAN EVOLUTION,4,,,,,AMER SOC PARASITOLOGISTS,1,,,,,AUBURN UNIVERSITY PRESIDENTIAL GRADUATE RESEARCH FELLOWSHIP,2,,,,,,,,
,,,,"Gouin, Nicolas",8,Virology,1.0,1.95 Gastrointestinal & Esophageal Diseases,1.0,1.189.310 Population Genetics,2,,,,,VANDERBILT UNIVERSITY,9,Ohio University College Of Arts And Sciences,6,MACROPODS THE BIOLOGY OF KANGAROOS WALLABIES AND RAT KANGAROOS,4,,,,,Allen Press Inc,1,,,,,CARNEGIE MUSEUM OF NATURAL HISTORY,2,,,,,,,,
,,,,"Varga, Zoltan",8,,,2.211 Mass Spectrometry,1.0,1.195.1341 Enteric Nervous System,2,,,,,AMERICAN MUSEUM OF NATURAL HISTORY AMNH,8,Ohio University Department Of Biological Sciences,6,MAMMALIA,4,,,,,Amer Assoc Advancement Science,1,,,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,2,,,,,,,,
,,,,"Truettner, Jessie S.",8,,,3.171 Photoproductivity,1.0,1.219.638 Abc Transporters,2,,,,,AUSTRALIAN MUSEUM,8,The University Of Iowa Healthcare,6,MOLECULAR BIOLOGY AND EVOLUTION,4,,,,,Amer Inst Mathematical Sciences-Aims,1,,,,,COOPERATIVE RESEARCH CENTRES CRC PROGRAMME,2,,,,,,,,
,,,,"Jia, Canping",8,,,3.180 Microbial Biotechnology,1.0,1.228.200 Mosquito-borne Viruses,2,,,,,CARDINAL STEFAN WYSZYNSKI UNIVERSITY IN WARSAW,8,The University Of Iowa Roy J And Lucille A Carver College Of Medicine,6,NEUROREPORT,4,,,,,Amer Inst Nutrition,1,,,,,CROATIAN SCIENCE FOUNDATION,2,,,,,,,,
,,,,"Macrini, Thomas E.",8,,,3.274 Animal Sensing,1.0,1.25.782 Proteasome,2,,,,,CITY UNIVERSITY OF NEW YORK CUNY SYSTEM,8,The University Of Queensland Faculty Of Science,6,NEUROSCIENCE LETTERS,4,,,,,Amer Medical Assoc,1,,,,,DEAKIN UNIVERSITY PHD PROGRAM,2,,,,,,,,
,,,,"GASSE, H",8,,,3.40 Forestry,1.0,1.286.845 Complement System,2,,,,,CLEVELAND STATE UNIVERSITY,8,The University Of Sydney School Of Medical Sciences,6,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES,4,,,,,BRITISH VETERINARY ASSOC,1,,,,,DEPARTMENT OF INDUSTRY INNOVATION AND SCIENCE,2,,,,,,,,
,,,,"Halata, Zdenek",8,,,3.51 Dairy & Animal Sciences,1.0,1.43.135 Neuropathic Pain,2,,,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,8,The University Of Texas Southwestern Medical Center Department Of Internal Medicine,6,PHOTODERMATOLOGY PHOTOIMMUNOLOGY PHOTOMEDICINE,4,,,,,Bentham Science Publ Ltd,1,,,,,EUROPEAN COMMISSION JOINT RESEARCH CENTRE,2,,,,,,,,
,,,,"KuehlKovarik, M",7,,,"3.60 Herbicides, Pesticides & Ground Poisoning",1.0,1.49.910 Temporomandibular Disorders,2,,,,,RUSSIAN ACADEMY OF SCIENCES,8,Ucla Life Sciences,6,PLACENTA,4,,,,,Carfax Publishing,1,,,,,EUROPEAN RESEARCH COUNCIL ERC,2,,,,,,,,
,,,,"Mahaney, Susan M.",7,,,5.98 Geometrical Optics,1.0,1.5.1090 Fear Conditioning,2,,,,,STANFORD UNIVERSITY,8,University Of California Los Angeles College Of Letters And Science,6,VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,4,,,,,E Schweizerbartsche Verlagsbuchhandlung,1,,,,,FEDERAL FUNDS FROM NICHD NIH DHHS,2,,,,,,,,
,,,,Paul D Waters,7,,,,,1.5.77 Dopamine And Neuromodulation,2,,,,,UNIVERSITY OF CINCINNATI,8,University Of Miami Miami Project To Cure Paralysis,6,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,4,,,,,E-Century Publishing Corp,1,,,,,FONDS DE RECHERCHE DU QUEBEC FRQ,2,,,,,,,,
,,,,"Frankenberg, Stephen R",7,,,,,1.52.765 Als Mechanisms,2,,,,,UNIVERSITY OF WASHINGTON,8,University Of Washington School Of Medicine,6,ANNALS OF ANATOMY ANATOMISCHER ANZEIGER,3,,,,,Elife Sciences Publications Ltd,1,,,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DE PERNAMBUCO FACEPE,2,,,,,,,,
,,,,Lyn A Hinds,7,,,,,1.54.469 Alternative Splicing,2,,,,,UNIVERSITY OF WASHINGTON SEATTLE,8,University Of Zurich Faculty Of Science,6,ANNALS OF CARNEGIE MUSEUM,3,,,,,Emerald Group Publishing,1,,,,,FUNDACAO DE AMPARO A PESQUISA E DESENVOLVIMENTO CIENTIFICO DO MARANHAO FAPEMA,2,,,,,,,,
,,,,"Old, Julie",7,,,,,1.7.1043 Multisensory Integration,2,,,,,UNIVERSITY OF WESTERN AUSTRALIA,8,Uw Medicine,6,ANNALS OF THE NEW YORK ACADEMY OF SCIENCES SERIES,3,,,,,Frontiers In Bioscience Inc,1,,,,,FUNDACAO DE APOIO AO DESENVOLVIMENTO DO ENSINO CIENCIA E TECNOLOGIA DO ESTADO DE MATO GROSSO DO SUL FUNDECT MS,2,,,,,,,,
,,,,"Kripke, Margaret",7,,,,,1.7.203 Visual Perception,2,,,,,UNIVERSITY OF ZURICH,8,Vanderbilt University Department Of Psychology,6,ANNUAL REVIEW OF GENOMICS AND HUMAN GENETICS,3,,,,,Frontiers Research Foundation,1,,,,,GAYLORD DONNELLEY POSTDOCTORAL ENVIRONMENTAL FELLOWSHIP,2,,,,,,,,
,,,,"Sabourin, Carol",7,,,,,1.72.182 Maternal-fetal Health,2,,,,,BROAD INSTITUTE,7,Duke University School Of Medicine,5,ARCHIVES OF DERMATOLOGICAL RESEARCH,3,,,,,Fundaco Oswaldo Cruz,1,,,,,HARVARD UNIVERSITY,2,,,,,,,,
,,,,"Shapiro, L. S.",7,,,,,1.79.411 Epithelial Ion Transport,2,,,,,HOWARD HUGHES MEDICAL INSTITUTE,7,Leipzig University Paul Flechsig Institute Of Brain Research,5,BIOESSAYS,3,,,,,Genetics Soc Japan,1,,,,,HELEN C KLEBERG FOUNDATION USA,2,,,,,,,,
,,,,"Kammerer, C. M.",7,,,,,1.82.783 Motor Control,2,,,,,INSTITUTE OF CYTOLOGY GENETICS ICG SB RAS,7,Louisiana State University College Of Science,5,BMC EVOLUTIONARY BIOLOGY,3,,,,,Genetics Society America,1,,,,,HOLSWORTH WILDLIFE RESEARCH ENDOWMENT,2,,,,,,,,
,,,,"Taggart, David Augustine",7,,,,,3.35.693 Primate Behavior,2,,,,,LOVELACE BIOMEDICAL ENVIRONMENTAL RESEARCH INSTITUTE,7,Louisiana State University Department Of Biological Sciences,5,BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,3,,,,,GigaScience Press,1,,,,,LIGUE NATIONALE CONTRE LE CANCER,2,,,,,,,,
