Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Editors,Editors_Count
2012.0,1.0,,,"Schmitt, Daniel",3,Biochemistry Molecular Biology,2.0,1.255 Musculoskeletal Disorders,1.0,1.36.212 Genetic Retinopathies,1.0,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,3.0,Bell Museum,1.0,CANADIAN JOURNAL OF ZOOLOGY REVUE CANADIENNE DE ZOOLOGIE,2.0,,,SWITZERLAND,2.0,Royal Soc London,2.0,Biochemistry Molecular Biology,2.0,,,COORDENACAO DE APERFEICOAMENTO PESSOAL CAPES,1.0,,
2011.0,1.0,,,"Delciellos, Ana Cláudia",3,Parasitology,2.0,1.36 Ophthalmology,1.0,3.220.1242 Taste Perception,1.0,,,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,3.0,Duke University Department Of Biology,1.0,JOURNAL OF HUMAN EVOLUTION,2.0,,,COSTA RICA,1.0,Soc Reproduction Fertility,2.0,Parasitology,2.0,,,DUKE UNIVERSITY,1.0,,
2010.0,4.0,,,"da Silva, Maria Nazareth Ferreira",3,Reproductive Biology,2.0,,,3.220.701 Olfactory Systems,1.0,,,,,UNIVERSITY SYSTEM OF OHIO,3.0,Federal University Of Lavras Department Of Biology,1.0,JOURNAL OF NATURAL HISTORY,2.0,,,FINLAND,1.0,ASSN TROP BIOL,1.0,Reproductive Biology,2.0,,,FACEPE MSC,1.0,,
2009.0,3.0,,,"Astúa, Diego",3,Behavioral Sciences,1.0,,,3.35.2036 Avian Parasitology,1.0,,,,,ARISTOTLE UNIVERSITY OF THESSALONIKI,2.0,Federal University Of Pernambuco Department Of Zoology,1.0,JOURNAL OF REPRODUCTION AND FERTILITY,2.0,,,GUYANA,1.0,Allen Press Inc,1.0,Behavioral Sciences,1.0,,,FACEPE PIBIC,1.0,,
2008.0,2.0,,,"Grelle, Carlos EV",2,Environmental Sciences,1.0,,,3.35.274 Wildlife Ecology,1.0,,,,,FUNDACAO OSWALDO CRUZ,2.0,Federal University Of Pernambuco Life Sciences Center,1.0,JOURNAL OF TROPICAL ECOLOGY,2.0,,,NEW ZEALAND,1.0,Alliance Communications Group Division Allen Press,1.0,Food Science Technology,1.0,,,FUJB,1.0,,
2007.0,5.0,,,"Maier, W.",2,Food Science Technology,1.0,,,3.40.86 Plant Communities,1.0,,,,,SMITHSONIAN INSTITUTION,2.0,Federal University Of Rio De Janeiro Forum Of Science And Culture,1.0,ACTA THERIOLOGICA,1.0,,,RUSSIA,1.0,Amer Assoc Immunologists,1.0,Forestry,1.0,,,FUNDACAO CARLOS CHACAS FILHO DE AMPRAO A PESQUISA DO ESTADO DO RIO DE JANEIRO,1.0,,
2006.0,1.0,,,"Youlatos, Dionisios",2,Forestry,1.0,,,3.64.612 Pollination,1.0,,,,,SMITHSONIAN NATIONAL MUSEUM OF NATURAL HISTORY,2.0,Flinders University College Of Science And Engineering,1.0,AMERICAN JOURNAL OF TROPICAL MEDICINE,1.0,,,SCOTLAND,1.0,Amer Museum Natural History,1.0,Immunology,1.0,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DE PERNAMBUCO FACEPE,1.0,,
2005.0,2.0,,,"Cerqueira, Rui",2,Immunology,1.0,,,3.64.71 Genetic Diversity,1.0,,,,,ST MARYS UNIV,2.0,Imperial College London Department Of Life Sciences,1.0,AMERICAN NATURALIST,1.0,,,SOUTH AFRICA,1.0,Brill,1.0,Neurosciences Neurology,1.0,,,FUNDACAO DE AMPARO A PESQUISA DO AMAPA FAPEAP,1.0,,
2004.0,2.0,,,"Pires, Alexandra Dos Santos",2,Neurosciences,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DE PERNAMBUCO,2.0,Imperial College London Faculty Of Natural Sciences,1.0,ANATOMICAL RECORD,1.0,,,,,Cabi Publishing-C A B Int,1.0,Plant Sciences,1.0,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,1.0,,
2003.0,5.0,,,"Loretto, Diogo",2,Plant Sciences,1.0,,,,,,,,,AUSTRALIAN NATIONAL UNIVERSITY,1.0,Louisiana State University College Of Science,1.0,BIOLOGICAL CONSERVATION,1.0,,,,,"Fundacao Zoobotanica  Rio Grande Sul, Museu Ciencias Naturais",1.0,Tropical Medicine,1.0,,,FUNDACAO DE AMPARO A PESQUISA NO AMAZONAS FAPEAM,1.0,,
