Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
2015.0,9.0,,,"Cavalcante, Leny",9,Biology,24.0,1.186 Chromosome Disorders,7.0,1.5.1501 Cerebellar Function,9.0,,,,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,12,Central University Of Venezuela Faculty Of Science,4,PARASITES VECTORS,9,,,AUSTRALIA,9.0,Public Library Science,10,Pharmacology Pharmacy,25.0,,,GERMAN RESEARCH FOUNDATION DFG,5,,,,,,
2014.0,11.0,,,"Garcia, Gary",9,Pharmacology Pharmacy,24.0,1.225 Hematologic Diseases,6.0,1.163.446 Schistosomiasis,8.0,,,,,UNIVERSITY OF LONDON,12,Federal University Of Rio De Janeiro Carlos Chagas Filho Biophysics Institute,4,BRAIN RESEARCH,8,,,SPAIN,9.0,Allen Press Inc,9,Life Sciences Biomedicine Other Topics,24.0,,,NIH NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS STROKE NINDS,5,,,,,,
2013.0,5.0,,,"Xavier, Samanta Cristina das Chagas",9,Toxicology,22.0,1.253 Nerve Disorders,6.0,1.186.670 Chromosomal Evolution,6.0,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,10,Yale School Of Medicine,4,LABORATORY ANIMAL SCIENCE,8,,,PANAMA,8.0,Amer Assoc Laboratory Animal Science,9,Toxicology,22.0,,,SPANISH GOVERNMENT,5,,,,,,
2012.0,11.0,,,Juliet S King,9,Biodiversity Conservation,19.0,1.228 Virology - Tropical Diseases,5.0,1.217.1890 Coccidiosis,6.0,,,,,LONDON SCHOOL OF HYGIENE TROPICAL MEDICINE,10,Beni Suef University Faculty Of Veterinary Medicine,3,PLOS NEGLECTED TROPICAL DISEASES,8,,,CANADA,7.0,Assoc Bras Divulg Cientifica,8,Biodiversity Conservation,19.0,,,EUROPEAN UNION EU,4,,,,,,
2011.0,4.0,,,"Miles, Michael A.",9,Multidisciplinary Sciences,16.0,1.7 Neuroscanning,5.0,1.253.1134 Peripheral Nerve Regeneration,5.0,,,,,UNIVERSITY OF CALIFORNIA SYSTEM,10,Free University Of Berlin Faculty Of Veterinary Medicine,3,BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,7,,,NETHERLANDS,7.0,Amer Soc Mammalogists,7,Science Technology Other Topics,16.0,,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,4,,,,,,
2010.0,11.0,,,"Cantillo, Omar",9,Microbiology,12.0,1.127 Molecular & Cell Biology - Pharmacology,4.0,3.40.195 Biodiversity Conservation,5.0,,,,,UNIVERSITY SYSTEM OF GEORGIA,10,Free University Of Berlin Institute Of Virology,3,REVISTA DE BIOLOGIA TROPICAL,6,,,CHILE,6.0,Frontiers Media Sa,7,Agriculture,14.0,,,WELLCOME TRUST,4,,,,,,
2009.0,6.0,,,"Volchan, Eliane",9,Entomology,9.0,1.248 Sexually Transmitted Infections,4.0,1.225.1098 Hemoglobin Function,4.0,,,,,MUSEUM NATIONAL D HISTOIRE NATURELLE MNHN,9,London School Of Hygiene And Tropical Medicine Faculty Of Infectious And Tropical Diseases,3,REVISTA MEXICANA DE BIODIVERSIDAD,6,,,ECUADOR,6.0,Karger,7,Microbiology,12.0,,,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,3,,,,,,
2008.0,7.0,,,"Hokoc, Jan Nora",9,Cell Biology,8.0,1.36 Ophthalmology,4.0,1.248.2104 Trichomonas Vaginalis,4.0,,,,,STATE UNIVERSITY SYSTEM OF FLORIDA,9,National Autonomous University Of Mexico Institute Of Ecology,3,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,5,,,AUSTRIA,5.0,"Inst Biologia, Univ Nacional Autonoma Mexico",6,Entomology,9.0,,,UK RESEARCH INNOVATION UKRI,3,,,,,,
2007.0,5.0,,,"Valente, Richard Hemmi",7,Evolutionary Biology,8.0,1.43 Anesthesiology,4.0,1.258.1958 Leptospirosis Epidemiology,4.0,,,,,UNITED STATES DEPARTMENT OF AGRICULTURE USDA,9,Virginia Maryland Regional College Of Veterinary Medicine,3,ANNALS OF TROPICAL MEDICINE AND PARASITOLOGY,5,,,ARGENTINA,4.0,KnowledgeWorks Global Ltd-KGL,6,Cell Biology,8.0,,,UNIVERSIDAD DE ANTIOQUIA UDEA,3,,,,,,
2006.0,4.0,,,"Dom, R",7,Genetics Heredity,8.0,1.81 Reproductive Biology,4.0,1.36.212 Genetic Retinopathies,4.0,,,,,UNIVERSIDADE ESTADUAL PAULISTA,9,Virginia Maryland Regional College Of Veterinary Medicine Department Of Biomedical Sciences And Pathobiology,3,BIOTROPICA,5,,,EGYPT,4.0,ROYAL SOC TROPICAL MEDICINE,6,Evolutionary Biology,8.0,,,COLOMBIA CONSORTIUM,2,,,,,,
