Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
2015.0,6.0,,,"Maldonado Junior, Arnaldo",4,Microbiology,4.0,8.93 Archaeology,3.0,3.40.195 Biodiversity Conservation,2.0,,,,,ECOLE NATIONALE VETERINAIRE D ALFORT ENVA,3,Mrc University Of Glasgow Centre For Virus Research,2.0,PLOS NEGLECTED TROPICAL DISEASES,2.0,,,IRELAND,2.0,"Soc Brasileira Zoologia, Univ Federal Parana",2.0,Microbiology,4.0,,,FUJB,2,,
2014.0,2.0,,,"Bonvicino, Cibele R.",4,Virology,4.0,1.102 Stem Cell Research,1.0,3.64.34 Phylogenetic Relationships,2.0,,,,,INRAE,3,Museu Nacional Ufrj,2.0,VIRUSES BASEL,2.0,,,SPAIN,2.0,Walter De Gruyter,2.0,Virology,4.0,,,FUNDACAO DE AMPARO A PESQUISA DO DISTRITO FEDERAL FAPDF PRONEX,2,,
2013.0,8.0,,,"Figueiredo, Luiz T",4,Paleontology,3.0,1.194 Tuberculosis & Leprosy,1.0,1.102.110 Mesenchymal Stem Cells,1.0,,,,,INSTITUTO EVANDRO CHAGAS,3,Universidade De Sao Paulo Departamento De Medicina Veterinaria Preventiva E Saude Animal,2.0,ACTA ETHOLOGICA,1.0,,,ECUADOR,1.0,ASOC PALEONTOLOGICA ARGENTINA,1.0,Paleontology,3.0,,,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,2,,
2012.0,4.0,,,"Gentile, Rosana",4,Public Environmental Occupational Health,3.0,"1.217 Parasitology - Malaria, Toxoplasmosis & Coccidiosis",1.0,1.125.83 Hcv,1.0,,,,,UNIVERSIDADE DE LISBOA,3,Universidade De Sao Paulo Faculdade De Medicina Veterinaria E Zootecnia,2.0,ACTA THERIOLOGICA,1.0,,,HUNGARY,1.0,Acad Brasileira De Ciencias,1.0,Public Environmental Occupational Health,3.0,,,FUNDACAO DE EMPREENDIMENTOS CIENTIFICOS E TECNOLOGICOS FINATEC,2,,
2011.0,5.0,,,"Guterres, Alexandro",3,Veterinary Sciences,3.0,1.42 Bacteriology,1.0,1.194.2768 Leprosy Epidemiology,1.0,,,,,UNIVERSIDADE DO VALE DO RIO DOS SINOS UNISINOS,3,University Of Glasgow College Of Medical Veterinary And Life Sciences,2.0,AMEGHINIANA,1.0,,,ITALY,1.0,Asociacion Paleontologica Argentina,1.0,Veterinary Sciences,3.0,,,FUNDACAO O BOTICARIO DE PROTECAO A NATUREZA,2,,
2010.0,5.0,,,"Rocha, Clarisse Rezende",3,Environmental Sciences,2.0,1.81 Reproductive Biology,1.0,1.217.1038 Toxoplasma Gondii,1.0,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO,3,University Of Glasgow Institute Of Infection Immunity And Inflammation,2.0,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,1.0,,,NEW ZEALAND,1.0,Canadian Science Publishing,1.0,Genetics Heredity,2.0,,,INPA,2,,
2008.0,3.0,,,"dos Santos Lucio, Camila",3,Genetics Heredity,2.0,,,1.258.1958 Leptospirosis Epidemiology,1.0,,,,,INST BIOL UFRJ,2,University Of Warwick Faculty Of Science Engineering And Medicine,2.0,ANIMALS,1.0,,,SWITZERLAND,1.0,Fundaco Oswaldo Cruz,1.0,Agriculture,1.0,,,MEDICAL RESEARCH COUNCIL UK MRC,2,,
2007.0,1.0,,,"de Oliveira, Renata Carvalho",3,Agriculture Dairy Animal Science,1.0,,,1.42.1750 Yersinia Pathogenesis,1.0,,,,,INSTITUTE BIOMED SCIENCE UNIVERSITY SAO PAULO,2,University Of Warwick School Of Life Sciences,2.0,ARCHIVES OF VIROLOGY,1.0,,,,,Hindawi Publishing Group,1.0,Behavioral Sciences,1.0,,,OSWALDO CRUZ INSTITUTE IOC FIOCRUZ,2,,
2006.0,1.0,,,"da Costa Neto, Socrates Fraga",3,Behavioral Sciences,1.0,,,1.81.176 Male Fertility,1.0,,,,,INSTITUTO ADOLFO LUTZ,2,Complutense University Of Madrid Faculty Of Veterinary,1.0,AUSTRAL ECOLOGY,1.0,,,,,"Inst Biologia, Univ Nacional Autonoma Mexico",1.0,Biochemistry Molecular Biology,1.0,,,PROGRAMA DE POS GRADUACAO EM ECOLOGIA,2,,
2005.0,1.0,,,"Chavatte-Palmer, Pascale",3,Biochemistry Molecular Biology,1.0,,,3.35.274 Wildlife Ecology,1.0,,,,,INSTITUTO FEDERAL GOIANO,2,Federal University Of Bahia Institute Of Biology,1.0,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,1.0,,,,,Inst Medicina Tropical Sao Paulo,1.0,Biotechnology Applied Microbiology,1.0,,,SWEDISH RESEARCH COUNCIL,2,,
,,,,"Gheler-Costa, Carla",3,Biology,1.0,,,3.35.434 Sexual Selection,1.0,,,,,ITAITI CONSULTORIA AMBIENTAL,2,Federal University Of Lavras Department Of Biology,1.0,BIOTA NEOTROPICA,1.0,,,,,Int Inst Ecology,1.0,Cell Biology,1.0,,,UK RESEARCH INNOVATION UKRI,2,,
,,,,"Maia, Felipe Goncalves Motta",3,Biotechnology Applied Microbiology,1.0,,,3.40.838 Rangeland Dynamics,1.0,,,,,MAYNOOTH UNIVERSITY,2,Federal University Of Rio De Janeiro Department Of Ecology,1.0,BRAZILIAN JOURNAL OF BIOLOGY,1.0,,,,,J Infection Developing Countries,1.0,Endocrinology Metabolism,1.0,,,UNIVERSITY OF BRASILIA,2,,
,,,,"Verdade, Luciano M.",3,Cell Biology,1.0,,,3.64.71 Genetic Diversity,1.0,,,,,NATIONAL CANCER INSTITUTE INCA,2,Institute Biomed Science University Sao Paulo,1.0,BRAZILIAN JOURNAL OF MICROBIOLOGY,1.0,,,,,Karger,1.0,Evolutionary Biology,1.0,,,ANPCYT,1,,
