Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
2011.0,1.0,Article,2.0,"Ferreira, Eduardo",1,Zoology,2.0,1.186 Chromosome Disorders,1.0,1.186.670 Chromosomal Evolution,1.0,15 Life On Land,2.0,Science Citation Index Expanded (SCI-EXPANDED),2.0,UNIV TOCANTIS,1.0,University Of Aveiro Department Of Biology,1.0,ZEITSCHRIFT FUR SAUGETIERKUNDE INTERNATIONAL JOURNAL OF MAMMALIAN BIOLOGY,1.0,English,2.0,BRAZIL,2.0,Elsevier,1.0,Zoology,2.0,All Open Access,1.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,1.0
1998.0,1.0,,,"Costa, Leonora Pires",1,,,3.35 Zoology & Animal Ecology,1.0,3.35.721 Rodent Ecology,1.0,13 Climate Action,1.0,,,UNIVERSIDADE DE AVEIRO,1.0,,,ZOOLOGIA,1.0,,,PORTUGAL,1.0,"Soc Brasileira Zoologia, Univ Federal Parana",1.0,,,Gold,1.0,FUNDACAO PARA A CIENCIA E A TECNOLOGIA FCT,1.0
,,,,"Lima, Jeane E. A.",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DA PARAIBA,1.0,,,,,,,,,,,,,Green Submitted,1.0,FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA,1.0
,,,,"Fonseca, Carlos MMS",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,1.0,,,,,,,,,,,,,,,,
,,,,"Rocha, Rita Gomes",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Sousa, Lindemberg C.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Langguth, Anne",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Leite, Yuri L. R.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
